city,date,mean
Łódź,2014-01-01,86.5
Łódź,2014-01-02,81.5
Łódź,2014-01-03,66.5
Łódź,2014-01-04,64
Łódź,2014-01-05,56
Łódź,2014-01-06,36.099999999999994
Łódź,2014-01-07,50.75
Łódź,2014-01-08,32.5
Łódź,2014-01-09,38.85
Łódź,2014-01-10,19.6
Łódź,2014-01-11,35.45
Łódź,2014-01-12,19.549999999999997
Łódź,2014-01-13,35.35
Łódź,2014-01-14,77
Łódź,2014-01-15,64
Łódź,2014-01-16,67.5
Łódź,2014-01-17,87
Łódź,2014-01-18,82
Łódź,2014-01-19,37.9
Łódź,2014-01-20,31.9
Łódź,2014-01-21,41.75
Łódź,2014-01-22,61
Łódź,2014-01-23,117
Łódź,2014-01-24,93.5
Łódź,2014-01-25,56.75
Łódź,2014-01-26,57
Łódź,2014-01-27,63.4
Łódź,2014-01-28,50.5
Łódź,2014-01-29,47.75
Łódź,2014-01-30,50.5
Łódź,2014-01-31,62.5
Łódź,2014-02-01,61.5
Łódź,2014-02-02,81
Łódź,2014-02-03,102.5
Łódź,2014-02-04,123.5
Łódź,2014-02-05,88.5
Łódź,2014-02-06,76.5
Łódź,2014-02-07,70
Łódź,2014-02-08,44.45
Łódź,2014-02-09,101
Łódź,2014-02-10,54.5
Łódź,2014-02-11,93
Łódź,2014-02-12,139.5
Łódź,2014-02-13,90
Łódź,2014-02-14,47.6
Łódź,2014-02-15,55
Łódź,2014-02-16,35.9
Łódź,2014-02-17,60
Łódź,2014-02-18,96.5
Łódź,2014-02-19,61
Łódź,2014-02-20,77
Łódź,2014-02-21,72
Łódź,2014-02-22,92
Łódź,2014-02-23,163
Łódź,2014-02-24,84
Łódź,2014-02-25,43.6
Łódź,2014-02-26,68
Łódź,2014-02-27,98
Łódź,2014-02-28,115
Łódź,2014-03-01,85
Łódź,2014-03-02,66.5
Łódź,2014-03-03,39
Łódź,2014-03-04,43.3
Łódź,2014-03-05,73.85
Łódź,2014-03-06,111
Łódź,2014-03-07,81
Łódź,2014-03-08,116.5
Łódź,2014-03-09,75.5
Łódź,2014-03-10,100.5
Łódź,2014-03-11,84
Łódź,2014-03-12,89.5
Łódź,2014-03-13,120.5
Łódź,2014-03-14,134
Łódź,2014-03-15,142
Łódź,2014-03-16,58
Łódź,2014-03-17,19.6
Łódź,2014-03-18,36.6
Łódź,2014-03-19,35.2
Łódź,2014-03-20,43.8
Łódź,2014-03-21,28.75
Łódź,2014-03-22,43.25
Łódź,2014-03-23,27.55
Łódź,2014-03-24,22.35
Łódź,2014-03-25,26
Łódź,2014-03-26,56.5
Łódź,2014-03-27,43.2
Łódź,2014-03-28,75
Łódź,2014-03-29,49.5
Łódź,2014-03-30,70
Łódź,2014-03-31,91.5
Łódź,2014-04-01,44.900000000000006
Łódź,2014-04-02,41.75
Łódź,2014-04-03,61.5
Łódź,2014-04-04,46.45
Łódź,2014-04-05,41.2
Łódź,2014-04-06,57.5
Łódź,2014-04-07,76.5
Łódź,2014-04-08,45.45
Łódź,2014-04-09,21.75
Łódź,2014-04-10,22.55
Łódź,2014-04-11,47.25
Łódź,2014-04-12,45.1
Łódź,2014-04-13,43.75
Łódź,2014-04-14,26.1
Łódź,2014-04-15,18.8
Łódź,2014-04-16,28.85
Łódź,2014-04-17,39
Łódź,2014-04-18,41.6
Łódź,2014-04-19,37.9
Łódź,2014-04-20,20
Łódź,2014-04-21,19.1
Łódź,2014-04-22,21.1
Łódź,2014-04-23,32
Łódź,2014-04-24,33.3
Łódź,2014-04-25,26.4
Łódź,2014-04-26,24.9
Łódź,2014-04-27,21.5
Łódź,2014-04-28,36
Łódź,2014-04-29,36.2
Łódź,2014-04-30,57
Łódź,2014-05-01,40.9
Łódź,2014-05-02,14.9
Łódź,2014-05-03,30.2
Łódź,2014-05-04,41.3
Łódź,2014-05-05,41.3
Łódź,2014-05-06,33.25
Łódź,2014-05-07,29.65
Łódź,2014-05-08,25.95
Łódź,2014-05-09,23
Łódź,2014-05-10,22
Łódź,2014-05-11,14.100000000000001
Łódź,2014-05-12,15.95
Łódź,2014-05-13,14.55
Łódź,2014-05-14,28.3
Łódź,2014-05-15,22.9
Łódź,2014-05-16,17.700000000000003
Łódź,2014-05-17,18.35
Łódź,2014-05-18,27.1
Łódź,2014-05-19,23.55
Łódź,2014-05-20,33.35
Łódź,2014-05-21,28.65
Łódź,2014-05-22,28.7
Łódź,2014-05-23,26.6
Łódź,2014-05-24,28.9
Łódź,2014-05-25,28.9
Łódź,2014-05-26,33.25
Łódź,2014-05-27,25.200000000000003
Łódź,2014-05-28,16.55
Łódź,2014-05-29,20.1
Łódź,2014-05-30,25.7
Łódź,2014-05-31,21
Łódź,2014-06-01,25.55
Łódź,2014-06-02,19.1
Łódź,2014-06-03,18.450000000000003
Łódź,2014-06-04,23
Łódź,2014-06-05,25.200000000000003
Łódź,2014-06-06,26.3
Łódź,2014-06-07,25.6
Łódź,2014-06-08,31.900000000000002
Łódź,2014-06-09,38.25
Łódź,2014-06-10,34.7
Łódź,2014-06-11,30.35
Łódź,2014-06-12,42.900000000000006
Łódź,2014-06-13,19.8
Łódź,2014-06-14,18.1
Łódź,2014-06-15,15.25
Łódź,2014-06-16,19.2
Łódź,2014-06-17,28.85
Łódź,2014-06-18,28
Łódź,2014-06-19,22.299999999999997
Łódź,2014-06-20,26
Łódź,2014-06-21,16.55
Łódź,2014-06-22,11.45
Łódź,2014-06-23,21.35
Łódź,2014-06-24,27.1
Łódź,2014-06-25,19.35
Łódź,2014-06-26,17.75
Łódź,2014-06-27,20.55
Łódź,2014-06-28,20.15
Łódź,2014-06-29,20.299999999999997
Łódź,2014-06-30,20.35
Łódź,2014-07-01,22.55
Łódź,2014-07-02,22.549999999999997
