city,date,mean
Łódź,2011-06-05,22.75
Łódź,2011-06-06,27.814
Łódź,2011-06-07,26.96933333333333
Łódź,2011-06-08,36.811
Łódź,2011-06-09,24.777666666666665
Łódź,2011-06-10,24.59166666666667
Łódź,2011-06-11,16.90566666666667
Łódź,2011-06-12,18.516666666666666
Łódź,2011-06-13,22.051666666666666
Łódź,2011-06-14,29.975
Łódź,2011-06-15,25.21666666666667
Łódź,2011-06-16,29.003999999999998
Łódź,2011-06-17,32.321
Łódź,2011-06-18,22.775
Łódź,2011-06-19,12.704
Łódź,2011-06-20,11.796
Łódź,2011-06-21,16
Łódź,2011-06-22,18.1335
Łódź,2011-06-23,15.7375
Łódź,2011-06-24,23.2835
Łódź,2011-06-25,11.2415
Łódź,2011-06-26,15.683499999999999
Łódź,2011-06-27,15.2085
Łódź,2011-06-28,16.058500000000002
Łódź,2011-06-29,21.7625
Łódź,2011-06-30,21.729
Łódź,2011-07-01,12.7045
Łódź,2011-07-02,13.6
Łódź,2011-07-03,6.471500000000001
Łódź,2011-07-04,14.008333333333333
Łódź,2011-07-05,17.391666666666666
Łódź,2011-07-06,18.244333333333334
Łódź,2011-07-07,25.819333333333333
Łódź,2011-07-08,33.88333333333333
Łódź,2011-07-09,22.90833333333333
Łódź,2011-07-10,24.061
Łódź,2011-07-11,18.125
Łódź,2011-07-12,17.452666666666666
Łódź,2011-07-13,24.180666666666667
Łódź,2011-07-14,25.191666666666666
Łódź,2011-07-15,17.861
Łódź,2011-07-16,20.036
Łódź,2011-07-17,21.375
Łódź,2011-07-18,18.622333333333334
Łódź,2011-07-19,21.252666666666666
Łódź,2011-07-20,20.979666666666667
Łódź,2011-07-21,23.230666666666668
Łódź,2011-07-22,10.544333333333334
Łódź,2011-07-23,13.372333333333334
Łódź,2011-07-24,19.374000000000002
Łódź,2011-07-25,20.727666666666664
Łódź,2011-07-26,26.405666666666665
Łódź,2011-07-27,15.555666666666667
Łódź,2011-07-28,18.725
Łódź,2011-07-29,20.09433333333333
Łódź,2011-07-30,15.9125
Łódź,2011-07-31,15.829
Łódź,2011-08-01,24.204
Łódź,2011-08-02,29.1
Łódź,2011-08-03,21.2835
Łódź,2011-08-04,21.75
Łódź,2011-08-05,29.753999999999998
Łódź,2011-08-06,29.521
Łódź,2011-08-07,28.241666666666667
Łódź,2011-08-08,14.825000000000001
Łódź,2011-08-09,14.991666666666665
Łódź,2011-08-10,14.966666666666667
Łódź,2011-08-11,22.785999999999998
Łódź,2011-08-12,25.808333333333334
Łódź,2011-08-13,17.6
Łódź,2011-08-14,18.4
Łódź,2011-08-15,17.3
Łódź,2011-08-16,20.1
Łódź,2011-08-17,25
Łódź,2011-08-18,33.2
Łódź,2011-08-19,30.85
Łódź,2011-08-20,12.899999999999999
Łódź,2011-08-21,16.9
Łódź,2011-08-22,25.700000000000003
Łódź,2011-08-23,25.6
Łódź,2011-08-24,25.799999999999997
Łódź,2011-08-25,29
Łódź,2011-08-26,34.900000000000006
Łódź,2011-08-27,48.650000000000006
Łódź,2011-08-28,9.600000000000001
Łódź,2011-08-29,20.15
Łódź,2011-08-30,19.85
Łódź,2011-08-31,27.799999999999997
Łódź,2011-09-01,39.15
Łódź,2011-09-02,42.9
Łódź,2011-09-03,36.5
Łódź,2011-09-04,27.85
Łódź,2011-09-05,37.45
Łódź,2011-09-06,17.371
Łódź,2011-09-07,21.636
Łódź,2011-09-08,13.4
Łódź,2011-09-09,12.316
Łódź,2011-09-10,21.752666666666666
Łódź,2011-09-11,25.791666666666668
Łódź,2011-09-12,26.044333333333334
Łódź,2011-09-13,21.216
Łódź,2011-09-14,23.383333333333333
Łódź,2011-09-15,26.383333333333333
Łódź,2011-09-16,29.7305
Łódź,2011-09-17,40.125
Łódź,2011-09-18,28.691499999999998
Łódź,2011-09-19,22.128999999999998
Łódź,2011-09-20,31.9375
Łódź,2011-09-21,36.7935
Łódź,2011-09-22,42.421
Łódź,2011-09-23,29.529
Łódź,2011-09-24,50.979
Łódź,2011-09-25,45
Łódź,2011-09-26,49.4375
Łódź,2011-09-27,51.3865
Łódź,2011-09-28,29.3125
Łódź,2011-09-29,27.3585
Łódź,2011-09-30,31.6335
Łódź,2011-10-01,32.121
Łódź,2011-10-02,29.225
Łódź,2011-10-03,39.321
Łódź,2011-10-04,46.975
Łódź,2011-10-05,35.725
Łódź,2011-10-06,25.6085
Łódź,2011-10-07,21.6085
Łódź,2011-10-08,18.4835
Łódź,2011-10-09,22.275
Łódź,2011-10-10,17.171
Łódź,2011-10-11,12.5
Łódź,2011-10-12,13.096
Łódź,2011-10-13,22.421
Łódź,2011-10-14,23.504
Łódź,2011-10-15,24.354
Łódź,2011-10-16,44.1875
Łódź,2011-10-17,37.9165
Łódź,2011-10-18,40.421
Łódź,2011-10-19,26.7625
Łódź,2011-10-20,27.213500000000003
Łódź,2011-10-21,62.326
Łódź,2011-10-22,74.875
Łódź,2011-10-23,41.0625
Łódź,2011-10-24,39.7085
Łódź,2011-10-25,41.125
Łódź,2011-10-26,39.346000000000004
Łódź,2011-10-27,57.229
Łódź,2011-10-28,69.0625
Łódź,2011-10-29,82.021
Łódź,2011-10-30,72.435
Łódź,2011-10-31,70.0835
Łódź,2011-11-01,66.9165
Łódź,2011-11-02,40.2915
Łódź,2011-11-03,56.625
Łódź,2011-11-04,84.2085
Łódź,2011-11-05,86.25
Łódź,2011-11-06,69.979
Łódź,2011-11-07,90.2085
Łódź,2011-11-08,140.91649999999998
Łódź,2011-11-09,122
Łódź,2011-11-10,24
Łódź,2011-11-11,35.979
Łódź,2011-11-12,71.2915
Łódź,2011-11-13,31.896
Łódź,2011-11-14,93.229
Łódź,2011-11-15,75.8335
Łódź,2011-11-16,68.1665
Łódź,2011-11-17,95.7085
Łódź,2011-11-18,81.3125
Łódź,2011-11-19,75.25
Łódź,2011-11-20,100.4375
Łódź,2011-11-21,137.29149999999998
Łódź,2011-11-22,139.66649999999998
Łódź,2011-11-23,103.0625
Łódź,2011-11-24,106.86099999999999
Łódź,2011-11-25,45.7275
Łódź,2011-11-26,30.146
Łódź,2011-11-27,20.854
Łódź,2011-11-28,30.8665
Łódź,2011-11-29,70.479
Łódź,2011-11-30,45.3335
Łódź,2011-12-01,39.625
Łódź,2011-12-02,28.6165
Łódź,2011-12-03,23.146
Łódź,2011-12-04,12.15
Łódź,2011-12-05,12.646
Łódź,2011-12-06,21.7585
Łódź,2011-12-07,21.9085
Łódź,2011-12-08,17.011
Łódź,2011-12-09,23.4875
Łódź,2011-12-10,24.9375
Łódź,2011-12-11,41.646
Łódź,2011-12-12,58.5835
Łódź,2011-12-13,39.278999999999996
Łódź,2011-12-14,23.625
