city,date,mean
Łódź,2001-01-01,NaN
Łódź,2001-01-02,49
Łódź,2001-01-03,87
Łódź,2001-01-04,67
Łódź,2001-01-05,53
Łódź,2001-01-06,44
Łódź,2001-01-07,NaN
Łódź,2001-01-08,50
Łódź,2001-01-09,55
Łódź,2001-01-10,53
Łódź,2001-01-11,37
Łódź,2001-01-12,45
Łódź,2001-01-13,69
Łódź,2001-01-14,NaN
Łódź,2001-01-15,59
Łódź,2001-01-16,48
Łódź,2001-01-17,55
Łódź,2001-01-18,69
Łódź,2001-01-19,63
Łódź,2001-01-20,92
Łódź,2001-01-21,NaN
Łódź,2001-01-22,53
Łódź,2001-01-23,60
Łódź,2001-01-24,39
Łódź,2001-01-25,50
Łódź,2001-01-26,62
Łódź,2001-01-27,55
Łódź,2001-01-28,NaN
Łódź,2001-01-29,64
Łódź,2001-01-30,57
Łódź,2001-01-31,52
Łódź,2001-02-01,49
Łódź,2001-02-02,56
Łódź,2001-02-03,64
Łódź,2001-02-04,NaN
Łódź,2001-02-05,52
Łódź,2001-02-06,43
Łódź,2001-02-07,75
Łódź,2001-02-08,97
Łódź,2001-02-09,65
Łódź,2001-02-10,48
Łódź,2001-02-11,NaN
Łódź,2001-02-12,51
Łódź,2001-02-13,40
Łódź,2001-02-14,49
Łódź,2001-02-15,78
Łódź,2001-02-16,80
Łódź,2001-02-17,41
Łódź,2001-02-18,NaN
Łódź,2001-02-19,43
Łódź,2001-02-20,39
Łódź,2001-02-21,25
Łódź,2001-02-22,31
Łódź,2001-02-23,38
Łódź,2001-02-24,59
Łódź,2001-02-25,NaN
Łódź,2001-02-26,79
Łódź,2001-02-27,62
Łódź,2001-02-28,61
Łódź,2001-03-01,84
Łódź,2001-03-02,83
Łódź,2001-03-03,81
Łódź,2001-03-04,NaN
Łódź,2001-03-05,62
Łódź,2001-03-06,82
Łódź,2001-03-07,64
Łódź,2001-03-08,60
Łódź,2001-03-09,74
Łódź,2001-03-10,56
Łódź,2001-03-11,NaN
Łódź,2001-03-12,51
Łódź,2001-03-13,37
Łódź,2001-03-14,32
Łódź,2001-03-15,39
Łódź,2001-03-16,40
Łódź,2001-03-17,31
Łódź,2001-03-18,NaN
Łódź,2001-03-19,25
Łódź,2001-03-20,27
Łódź,2001-03-21,52
Łódź,2001-03-22,48
Łódź,2001-03-23,45
Łódź,2001-03-24,35
Łódź,2001-03-25,NaN
Łódź,2001-03-26,39
Łódź,2001-03-27,48
Łódź,2001-03-28,32
Łódź,2001-03-29,34
Łódź,2001-03-30,49
Łódź,2001-03-31,86
Łódź,2001-04-01,NaN
Łódź,2001-04-02,84
Łódź,2001-04-03,65
Łódź,2001-04-04,66
Łódź,2001-04-05,63
Łódź,2001-04-06,50
Łódź,2001-04-07,41
Łódź,2001-04-08,NaN
Łódź,2001-04-09,37
Łódź,2001-04-10,36
Łódź,2001-04-11,46
Łódź,2001-04-12,26
Łódź,2001-04-13,16
Łódź,2001-04-14,28
Łódź,2001-04-15,NaN
Łódź,2001-04-16,NaN
Łódź,2001-04-17,48
Łódź,2001-04-18,37
Łódź,2001-04-19,35
Łódź,2001-04-20,37
Łódź,2001-04-21,33
Łódź,2001-04-22,NaN
Łódź,2001-04-23,47
Łódź,2001-04-24,35
Łódź,2001-04-25,46
Łódź,2001-04-26,39
Łódź,2001-04-27,59
Łódź,2001-04-28,29
Łódź,2001-04-29,NaN
Łódź,2001-04-30,35
Łódź,2001-05-01,NaN
Łódź,2001-05-02,20
Łódź,2001-05-03,NaN
Łódź,2001-05-04,37
Łódź,2001-05-05,34
Łódź,2001-05-06,NaN
Łódź,2001-05-07,39
Łódź,2001-05-08,27
Łódź,2001-05-09,25
Łódź,2001-05-10,21
Łódź,2001-05-11,24
Łódź,2001-05-12,23
Łódź,2001-05-13,NaN
Łódź,2001-05-14,45
Łódź,2001-05-15,65
Łódź,2001-05-16,44
Łódź,2001-05-17,42
Łódź,2001-05-18,28
Łódź,2001-05-19,17
Łódź,2001-05-20,NaN
Łódź,2001-05-21,22
Łódź,2001-05-22,34
Łódź,2001-05-23,42
Łódź,2001-05-24,38
Łódź,2001-05-25,20
Łódź,2001-05-26,22
Łódź,2001-05-27,NaN
Łódź,2001-05-28,21
Łódź,2001-05-29,32
Łódź,2001-05-30,25
Łódź,2001-05-31,19
Łódź,2001-06-01,25
Łódź,2001-06-02,24
Łódź,2001-06-03,NaN
Łódź,2001-06-04,22
Łódź,2001-06-05,25
Łódź,2001-06-06,49
Łódź,2001-06-07,42
Łódź,2001-06-08,33
Łódź,2001-06-09,28
Łódź,2001-06-10,NaN
Łódź,2001-06-11,25
Łódź,2001-06-12,24
Łódź,2001-06-13,39
Łódź,2001-06-14,NaN
Łódź,2001-06-15,33
Łódź,2001-06-16,37
Łódź,2001-06-17,NaN
Łódź,2001-06-18,25
Łódź,2001-06-19,23
Łódź,2001-06-20,39
Łódź,2001-06-21,28
Łódź,2001-06-22,22
Łódź,2001-06-23,14
Łódź,2001-06-24,NaN
Łódź,2001-06-25,31
Łódź,2001-06-26,NaN
Łódź,2001-06-27,46
Łódź,2001-06-28,33
Łódź,2001-06-29,42
Łódź,2001-06-30,31
Łódź,2001-07-01,NaN
Łódź,2001-07-02,24
Łódź,2001-07-03,20
Łódź,2001-07-04,24
Łódź,2001-07-05,31
Łódź,2001-07-06,33
Łódź,2001-07-07,36
Łódź,2001-07-08,NaN
Łódź,2001-07-09,NaN
Łódź,2001-07-10,NaN
Łódź,2001-07-11,29
Łódź,2001-07-12,38
Łódź,2001-07-13,41
Łódź,2001-07-14,45
Łódź,2001-07-15,NaN
Łódź,2001-07-16,36
Łódź,2001-07-17,25
Łódź,2001-07-18,30
Łódź,2001-07-19,43
Łódź,2001-07-20,27
Łódź,2001-07-21,30
Łódź,2001-07-22,NaN
Łódź,2001-07-23,30
Łódź,2001-07-24,42
Łódź,2001-07-25,39
Łódź,2001-07-26,38
Łódź,2001-07-27,33
Łódź,2001-07-28,20
Łódź,2001-07-29,NaN
Łódź,2001-07-30,34
Łódź,2001-07-31,45
Łódź,2001-08-01,31
Łódź,2001-08-02,NaN
Łódź,2001-08-03,40
Łódź,2001-08-04,36
Łódź,2001-08-05,NaN
Łódź,2001-08-06,23
Łódź,2001-08-07,22
Łódź,2001-08-08,29
Łódź,2001-08-09,26
Łódź,2001-08-10,23
Łódź,2001-08-11,17
Łódź,2001-08-12,NaN
Łódź,2001-08-13,34
Łódź,2001-08-14,35
Łódź,2001-08-15,NaN
Łódź,2001-08-16,47
Łódź,2001-08-17,48
Łódź,2001-08-18,48
Łódź,2001-08-19,NaN
Łódź,2001-08-20,57
Łódź,2001-08-21,50
Łódź,2001-08-22,44
Łódź,2001-08-23,25
Łódź,2001-08-24,37
Łódź,2001-08-25,45
Łódź,2001-08-26,NaN
Łódź,2001-08-27,36
Łódź,2001-08-28,NaN
Łódź,2001-08-29,10
Łódź,2001-08-30,23
Łódź,2001-08-31,24
Łódź,2001-09-01,35
Łódź,2001-09-02,NaN
Łódź,2001-09-03,37
Łódź,2001-09-04,39
Łódź,2001-09-05,26
Łódź,2001-09-06,29
Łódź,2001-09-07,32
Łódź,2001-09-08,16
Łódź,2001-09-09,NaN
Łódź,2001-09-10,NaN
Łódź,2001-09-11,26
Łódź,2001-09-12,28
Łódź,2001-09-13,28
Łódź,2001-09-14,38
Łódź,2001-09-15,37
Łódź,2001-09-16,NaN
Łódź,2001-09-17,24
Łódź,2001-09-18,24
Łódź,2001-09-19,27
Łódź,2001-09-20,NaN
Łódź,2001-09-21,NaN
Łódź,2001-09-22,NaN
Łódź,2001-09-23,NaN
Łódź,2001-09-24,38
Łódź,2001-09-25,29
Łódź,2001-09-26,31
Łódź,2001-09-27,47
Łódź,2001-09-28,51
Łódź,2001-09-29,49
Łódź,2001-09-30,NaN
Łódź,2001-10-01,32
Łódź,2001-10-02,25
Łódź,2001-10-03,29
Łódź,2001-10-04,31
Łódź,2001-10-05,57
Łódź,2001-10-06,44
Łódź,2001-10-07,NaN
Łódź,2001-10-08,70
Łódź,2001-10-09,56
Łódź,2001-10-10,35
Łódź,2001-10-11,NaN
Łódź,2001-10-12,44
Łódź,2001-10-13,66
Łódź,2001-10-14,NaN
Łódź,2001-10-15,75
Łódź,2001-10-16,85
Łódź,2001-10-17,41
Łódź,2001-10-18,60
Łódź,2001-10-19,50
Łódź,2001-10-20,55
Łódź,2001-10-21,NaN
Łódź,2001-10-22,40
Łódź,2001-10-23,32
Łódź,2001-10-24,26
Łódź,2001-10-25,69
Łódź,2001-10-26,64
Łódź,2001-10-27,56
Łódź,2001-10-28,NaN
Łódź,2001-10-29,NaN
Łódź,2001-10-30,44
Łódź,2001-10-31,28
Łódź,2001-11-01,NaN
Łódź,2001-11-02,47
Łódź,2001-11-03,59
Łódź,2001-11-04,NaN
Łódź,2001-11-05,38
Łódź,2001-11-06,37
Łódź,2001-11-07,27
Łódź,2001-11-08,27
Łódź,2001-11-09,27
Łódź,2001-11-10,47
Łódź,2001-11-11,NaN
Łódź,2001-11-12,62
Łódź,2001-11-13,58
Łódź,2001-11-14,63
Łódź,2001-11-15,43
Łódź,2001-11-16,41
Łódź,2001-11-17,40
Łódź,2001-11-18,NaN
Łódź,2001-11-19,33
Łódź,2001-11-20,NaN
Łódź,2001-11-21,NaN
Łódź,2001-11-22,NaN
Łódź,2001-11-23,NaN
Łódź,2001-11-24,NaN
Łódź,2001-11-25,NaN
Łódź,2001-11-26,NaN
Łódź,2001-11-27,NaN
Łódź,2001-11-28,NaN
Łódź,2001-11-29,NaN
Łódź,2001-11-30,NaN
Łódź,2001-12-01,NaN
Łódź,2001-12-02,NaN
Łódź,2001-12-03,NaN
Łódź,2001-12-04,NaN
Łódź,2001-12-05,NaN
Łódź,2001-12-06,NaN
Łódź,2001-12-07,NaN
Łódź,2001-12-08,NaN
Łódź,2001-12-09,NaN
Łódź,2001-12-10,NaN
Łódź,2001-12-11,NaN
Łódź,2001-12-12,NaN
Łódź,2001-12-13,NaN
Łódź,2001-12-14,NaN
Łódź,2001-12-15,NaN
Łódź,2001-12-16,NaN
Łódź,2001-12-17,NaN
Łódź,2001-12-18,NaN
