city,date,mean
Łódź,2003-01-01,NaN
Łódź,2003-01-02,31
Łódź,2003-01-03,50
Łódź,2003-01-04,66
Łódź,2003-01-05,NaN
Łódź,2003-01-06,59
Łódź,2003-01-07,62
Łódź,2003-01-08,119
Łódź,2003-01-09,236
Łódź,2003-01-10,106
Łódź,2003-01-11,64
Łódź,2003-01-12,NaN
Łódź,2003-01-13,40
Łódź,2003-01-14,24
Łódź,2003-01-15,32
Łódź,2003-01-16,37
Łódź,2003-01-17,49
Łódź,2003-01-18,71
Łódź,2003-01-19,NaN
Łódź,2003-01-20,85
Łódź,2003-01-21,57
Łódź,2003-01-22,53
Łódź,2003-01-23,74
Łódź,2003-01-24,67
Łódź,2003-01-25,63
Łódź,2003-01-26,NaN
Łódź,2003-01-27,29
Łódź,2003-01-28,24
Łódź,2003-01-29,43
Łódź,2003-01-30,50
Łódź,2003-01-31,59
Łódź,2003-02-01,100
Łódź,2003-02-02,NaN
Łódź,2003-02-03,60
Łódź,2003-02-04,137
Łódź,2003-02-05,87
Łódź,2003-02-06,39
Łódź,2003-02-07,43
Łódź,2003-02-08,50
Łódź,2003-02-09,NaN
Łódź,2003-02-10,48
Łódź,2003-02-11,49
Łódź,2003-02-12,92
Łódź,2003-02-13,112
Łódź,2003-02-14,81
Łódź,2003-02-15,28
Łódź,2003-02-16,NaN
Łódź,2003-02-17,115
Łódź,2003-02-18,41
Łódź,2003-02-19,43
Łódź,2003-02-20,41
Łódź,2003-02-21,50
Łódź,2003-02-22,52
Łódź,2003-02-23,NaN
Łódź,2003-02-24,104
Łódź,2003-02-25,86
Łódź,2003-02-26,94
Łódź,2003-02-27,132
Łódź,2003-02-28,87
Łódź,2003-03-01,62
Łódź,2003-03-02,NaN
Łódź,2003-03-03,69
Łódź,2003-03-04,73
Łódź,2003-03-05,68
Łódź,2003-03-06,61
Łódź,2003-03-07,79
Łódź,2003-03-08,90
Łódź,2003-03-09,NaN
Łódź,2003-03-10,68
Łódź,2003-03-11,56
Łódź,2003-03-12,23
Łódź,2003-03-13,23
