id,mean,city,lat,lon
DsCzer02,16.93409742120344,Czerniawa,50.91248,15.31219
DsDzia01,29.831460674157302,Działoszyn,50.97217,14.94132
DsLegPoraz,24.7013698630137,Legnica,51.19352,16.13519
DsLegRzeczA,41.91242937853107,Legnica,51.20450,16.18051
DsNRudaSrebP,62.11451612903226,Nowa Ruda,50.57991,16.51442
DsOlawaSemi,39.741176470588236,Oława,50.94207,17.29133
DsOlesnicaPM,36.9349593495935,Oleśnica,51.21748,17.39000
DsOsieczow,24.82921022727273,Osieczów,51.31763,15.43172
DsPolkKasz,33.49662162162162,Polkowice,51.50237,16.07505
DsSwidRynek,38.808777429467085,Świdnica,50.84236,16.48670
DsSzczKopPM,53.34701492537314,Szczawno-Zdrój,50.80154,16.25014
DsWrocKorzA,38.78629032258065,Wrocław,51.12938,17.02925
DsWrocWisA,53.13165266106443,Wrocław,51.08622,17.01269
DsZgorzBohA,32.644444444444446,Zgorzelec,51.15039,15.00817
DsZlotoryjaPM,35.60377358490566,Złotoryja,51.12390,15.92029
KpBrodnicaZwirkiW,21.771653543307085,NA,NA,NA
KpCiechoTezniowa,24.95655737704918,Ciechocinek,52.88842,18.78091
KpGrudzStar,33.05813953488372,Grudziądz,53.49183,18.75250
KpKoniczZMSP,34.345238095238095,Koniczynka,53.08065,18.68426
KpNakloPiotraSkargi,38.48303249097473,Nakło nad Notecią,53.13836,17.60514
KpPiech,23.8921875,Piechcin,52.81639,18.03278
KpSadlog,16.370560137457044,Sadłogoszcz,52.84472,18.00500
KpTorunDziewulsk,39.051587301587304,Toruń,53.02865,18.66610
KpTuchPiast,13.368702290076335,Tuchola,53.58596,17.86935
KpWloclOkrzei,39.587443946188344,Włocławek,52.65847,19.05931
KpWloclSielska,28.039370078740156,Włocławek,52.66472,19.03639
KpWolice,13.823945945945946,Wolice,52.85417,17.90028
KpZielBoryTuch,23.771506849315067,Zielonka,53.66212,17.93402
KpZninPotockiego,31.96330275229358,Żnin,52.84845,17.73409
LbBialaPOrzechowa,37.56731843575419,Biała Podlaska,52.02919,23.14939
LbChelmJagWIOS,31.01098591549296,Chełm,51.13095,23.51460
LbKrasnikKoszarowa,31.227922077922077,Kraśnik,50.92824,22.22831
LbLublin_Sliwins_5,30.638787878787877,Lublin,51.27308,22.55167
LbPulawySkowieszynska,36.12919075144509,Puławy,51.41061,21.97638
LbRadzyPSitkowskiego,34.05807365439094,Radzyń Podlaski,51.78000,22.62594
LbZamoscHrubieszowsk,36.28739726027397,Zamość,50.71663,23.29025
LdBrzeziWIOSMReforma,59.75972222222222,Brzeziny,51.79781,19.75577
LdKutnoWIOSMWilcza,41.324450549450546,Kutno,52.22849,19.37221
LdLodzWIOSACzernik,30.44233009708738,Łódź,51.75805,19.52979
LdLodzWIOSARubinst,40.6804,Łódź,51.76729,19.45534
LdLodzWSSEMRudzka,48.874848484848485,Łódź,51.70558,19.43484
LdOpocznWIOSMPlKosci,64.43718309859155,Opoczno,51.37584,20.28924
LdPabianWIOSMKilinsk,43.90074626865672,Pabianice,51.66318,19.35549
LdPiotrkWIOSMSienkie,46.680952380952384,Piotrków Trybunalski,51.40784,19.68869
LdRadomsWIOSMRolna2,55.208264462809915,Radomsko,51.06744,19.44869
LdRadomsWSSEMZeromsk,59.97191011235955,Radomsko,51.06611,19.44194
LdRawaMaWIOSMNiepodl,26.591370558375633,Rawa Mazowiecka,51.76087,20.25057
LdSieradWSSEMGrunwal,39.63229571984436,Sieradz,51.59013,18.71733
LdSkiernWIOSMJagiell,51.86214285714286,Skierniewice,51.95956,20.14618
LdSkiernWSSEMReymont,62.38426966292135,Skierniewice,51.96000,20.14722
LdTomaszWIOSMSwAnton,53.03267973856209,Tomaszów Mazowiecki,51.52626,20.01679
LdZdWolaWIOSMKrolews,49.381884057971014,Zduńska Wola,51.60144,18.94012
LuGorzowWIOS_AUT,41.20068421052632,Gorzów Wielkopolski,52.73821,15.22867
LuGorzowWIOS_MAN,24.139803921568628,Gorzów Wielkopolski,52.74704,15.24629
LuSulecWIOS_MOB,31.10888030888031,Sulęcin,52.43772,15.12244
LuZgoraWIOS_AUT,22.68841463414634,Zielona Góra,51.93978,15.51886
MpBochniWIOSKBar0106,42.04810996563574,Bochnia,49.96902,20.43951
MpGorlicWIOSKras0511,34.5,Gorlice,49.65889,21.16334
MpKrakowWIOSAKra6117,76.30453802816902,Kraków,50.05768,19.92619
