id,mean,city,lat,lon
DsGlogWiStwo,28.3164265129683,Głogów,51.65702,16.09782
DsJelGorSoko,28.783534482758622,Jelenia Góra,50.87121,15.70095
DsLegAlRzecz,35.68727272727273,Legnica,51.20450,16.18051
DsLubiWierzb,26.97741935483871,Lubin,51.40651,16.18833
DsNowRudSreb,45.45549180327869,Nowa Ruda,50.57991,16.51442
DsOlawZolnAK,29.698685714285713,Oława,50.94207,17.29133
DsOlesBrzozo,27.71839541547278,Oleśnica,51.21748,17.39000
DsOsieczow21,19.61610644257703,Osieczów,51.31763,15.43172
DsPolKasztan,25.82017441860465,Polkowice,51.50237,16.07505
DsSwidnRynek,31.833439306358382,Świdnica,50.84236,16.48670
DsSzczaKolej,27.739078498293516,Szczawno-Zdrój,50.80419,16.25411
DsWalbrzWyso,26.26868804664723,Wałbrzych,50.76873,16.26968
DsWrocOrzech,27.855134328358208,Wrocław,51.07753,17.04282
DsWrocWybCon,32.49487252124646,Wrocław,51.12938,17.02925
DsZgorBohGet,28.969779005524863,Zgorzelec,51.15039,15.00817
DsZlotoStasz,30.20284457478006,Złotoryja,51.12390,15.92029
KpBrodKochan,31.357954391143913,Brodnica,53.24926,19.41509
KpBydPlPozna,35.412337629411766,Bydgoszcz,53.12176,17.98791
KpCiechTezni,25.216607808219177,Ciechocinek,52.88842,18.78091
KpGrudSienki,34.55293371260997,Grudziądz,53.49183,18.75250
KpInowSolank,22.903264444134077,Inowrocław,52.79312,18.24104
KpKoniczynka,25.67175774373259,Koniczynka,53.08065,18.68426
KpNaklSkargi,40.385657411764704,Nakło nad Notecią,53.13836,17.60514
KpToruDziewu,27.514268590163933,Toruń,53.02865,18.66610
KpWloclOkrze,30.580045553424657,Włocławek,52.65847,19.05931
KpWloclSiels,28.849470242424243,Włocławek,52.66472,19.03639
KpZielBoryTu,15.573925397727272,Zielonka,53.66212,17.93402
LbBiaPodOrze,29.681967213114753,Biała Podlaska,52.02919,23.14939
LbChelJagiel,32.34699453551912,Chełm,51.13095,23.51460
LbKrasKoszar,28.048907103825137,Kraśnik,50.92824,22.22831
LbLubSliwins,25.077868852459016,Lublin,51.27308,22.55167
LbPulaKarpin,24.959052924791088,Puławy,51.41905,21.96109
LbRadzPodSit,28.05718232044199,Radzyń Podlaski,51.78000,22.62594
LbZamoHrubie,29.176502732240436,Zamość,50.71663,23.29025
LdBrzeReform,39.604395604395606,Brzeziny,51.79781,19.75577
LdKutnKosciu,31.816939890710383,Kutno,52.23448,19.36819
LdLodzLegion,39.20054945054945,Łódź,51.77642,19.45294
LdLodzRudzka,37.58082191780822,Łódź,51.70558,19.43484
LdLowiczSien,37.60109289617486,Łowicz,52.10585,19.93955
LdOpocPlKosc,52.19945355191257,Opoczno,51.37584,20.28924
LdPabiKilins,36.30252100840336,Pabianice,51.66318,19.35549
LdPioTrKraPr,38.09836065573771,Piotrków Trybunalski,51.40441,19.69696
LdRadomsRoln,42.892857142857146,Radomsko,51.06744,19.44869
LdRawaNiepod,33.28932584269663,Rawa Mazowiecka,51.76087,20.25057
LdSieraPolna,33.91803278688525,Sieradz,51.59211,18.73490
LdSkierKonop,36.16393442622951,Skierniewice,51.95431,20.14938
LdToMaSwAnto,40.576502732240435,Tomaszów Mazowiecki,51.52626,20.01679
LdWieluPOW12,33.88767123287671,Wieluń,51.21783,18.58183
LdZduWoKrole,42.87431693989071,Zduńska Wola,51.60144,18.94012
LuGorzKosGdy,31.480494505494505,Gorzów Wielkopolski,52.73821,15.22867
LuGorzPilsud,26.057834757834758,Gorzów Wielkopolski,52.74704,15.24629
LuSulecDudka,27.956976744186047,Sulęcin,52.43772,15.12244
LuWsKaziWiel,32.4019943019943,Wschowa,51.79972,16.31750
LuZarySzyman,26.946448087431694,Żary,51.64266,15.12781
LuZielKrotka,24.386849315068492,Zielona Góra,51.93978,15.51886
MpBochKonfed,34.774668469945354,Bochnia,49.96902,20.43951
