id,mean,city,lat,lon
DsJelw05,8.891072222222222,Jeleniów,51.22484,15.23298
DsLegZlotor,48.77248677248677,Legnica,51.18802,16.12906
DsLubinMaj,33.0865671641791,Lubin,51.39842,16.19964
DsNRudaSrebPArch,43.78026785714286,Nowa Ruda,50.57991,16.51442
DsSwidRynekArch,33.16981132075472,Świdnica,50.84236,16.48670
DsWrocWie,40.988297872340425,Wrocław,51.10549,17.03647
KpCiechoTezniowa,33.91662162162162,Ciechocinek,52.88842,18.78091
KpSadlog,27.95980392156863,Sadłogoszcz,52.84472,18.00500
KpSwiecGruczno,24.142394822006473,Górne Gruczno,53.36472,18.31667
KpSwiecKolejowa,19.48843930635838,Świecie,53.39806,18.41639
KpTorunDziewulsk,51.331343283582086,Toruń,53.02865,18.66610
KpWloclSielska,37.91710526315789,Włocławek,52.66472,19.03639
KpWolice,15.962352941176471,Wolice,52.85417,17.90028
LbBialaPOrzechowa,16.600719424460433,Biała Podlaska,52.02919,23.14939
LbDorohWIOS,9.83,Dorohusk,51.17556,23.80167
LbLublinPiel,39.785714285714285,Lublin,51.23944,22.50750
LbLublin_Sliwins_5,29.63050847457627,Lublin,51.27308,22.55167
LbZamoscHrubieszowsk,42.33647416413374,Zamość,50.71663,23.29025
LdKutnoWIOSMWilcza,61.68722466960352,Kutno,52.22849,19.37221
LdLodzWSSEMWodna40,43.464285714285715,Łódź,51.76167,19.47694
MpAndrycWSSEKrak1801,42.66268656716418,Andrychów,49.85333,19.34056
MpBochniWSSESoln0102,34.272222222222226,Bochnia,49.97000,20.43222
MpChrzanWSSEGrzy0301,36.73351648351648,Chrzanów,50.13694,19.39722
MpKrakowWIOSAKra6117,80.16663049853372,Kraków,50.05768,19.92619
MpKrakowWIOSPrad6115,55.5,Kraków,50.08750,19.92611
MpKrakowWSSERPod6113,49.7682119205298,Kraków,50.04000,19.94333
MpNoTargWSSESzaf1102,34.08085106382979,Nowy Targ,49.47444,20.02583
MpOswiecWSSEWiez1301,32.659163987138264,Oświęcim,50.03417,19.20056
MpTarnowWSSEMosc6301,30.476635514018692,Tarnów,50.00667,20.97528
MpWielicWIOSNiep1904,67.38764044943821,Niepołomice,50.03512,20.21269
MzCiechStrazacka,32.71518987341772,Ciechanów,52.87844,20.61329
MzOstrolTargowa,40.71542056074767,Ostrołęka,53.08402,21.58920
MzWarszBernWoda,24.244755244755243,Warszawa,52.19173,21.05105
MzWarszKrucza,36.56958904109589,Warszawa,52.22458,21.01904
MzWarszZelazWSSE,41.625,Warszawa,52.23750,20.98793
OpKkozle243,48.129629629629626,Kędzierzyn-Koźle,50.33833,18.13417
OpOpole45p,42.373831775700936,Opole,50.66611,17.93778
OpPrud189p,64.51666666666667,Prudnik,50.32111,17.57778
PdBialyLegionowa8,26.83606557377049,Białystok,53.13111,23.15889
PdLomzaKopernika16,53.07853107344633,Łomża,53.17484,22.07595
PdSuwPulaski,42.226404494382024,Suwałki,54.11788,22.93461
PkJasloWIOSFlor,31.028169014084508,Jasło,49.73917,21.48278
PkPrzemWIOSPDom,76.56153846153846,Przemyśl,49.78278,22.76667
SkChecBiaZag,42.17220543806646,Chęciny,50.80448,20.46989
SkKielJagiel,37.88135593220339,Kielce,50.87255,20.60500
SkOzarowMiec,26.780730897009967,Mieczysławów,50.94778,21.72924
SkOzarowOsWz,27.991666666666667,Ożarów,50.89317,21.65516
WmOlsztyWSSE_Zolnier,26.94668674698795,Olsztyn,53.77083,20.49000
WpKonin31018,42.947916666666664,NA,NA,NA
WpLeszno411000,43.079754601226995,Leszno,51.84778,16.57472
WpPila5710111,54.59550561797753,Piła,53.15441,16.75957
WpPoznan63117,34.19047619047619,NA,NA,NA
ZpGryfWiduchowa003,18.137748344370863,Widuchowa,53.12232,14.38222
ZpSzczWSSESped6,26.380622837370243,Szczecin,53.41504,14.55535
