id,mean,city,lat,lon
DsDzia01,23.83130193905817,Działoszyn,50.97217,14.94132
DsGlogNorw,30.764542936288088,Głogów,51.65713,16.08619
DsJeleniaGoraPM,26.85521472392638,Jelenia Góra,50.87121,15.70095
DsLegRzeczA,37.45189504373178,Legnica,51.20450,16.18051
DsNRudaSrebP,49.12417582417582,Nowa Ruda,50.57991,16.51442
DsOlawaSemi,33.08244047619048,Oława,50.94207,17.29133
DsOlesnicaPM,31.426907514450868,Oleśnica,51.21748,17.39000
DsOsieczow,20.43670520231214,Osieczów,51.31763,15.43172
DsPolkKasz,28.335164835164836,Polkowice,51.50237,16.07505
DsSwidRynek,34.83468208092486,Świdnica,50.84236,16.48670
DsSzczDZPM,34.02732394366197,Szczawno-Zdrój,50.80419,16.25411
DsWalbWysA,31.75917808219178,Wałbrzych,50.76873,16.26968
DsWrocKorzA,37.66972222222222,Wrocław,51.12938,17.02925
DsWrocOrzech,32.664927536231886,Wrocław,51.07753,17.04282
DsZgorzBohA,29.4828125,Zgorzelec,51.15039,15.00817
DsZlotoryjaPM,33.96396396396396,Złotoryja,51.12390,15.92029
KpAirpInowr,26.894539249146757,Inowrocław,52.79312,18.24104
KpCiechoTezniowa,27.729752066115704,Ciechocinek,52.88842,18.78091
KpGrudzStar,35.50668728176795,Grudziądz,53.49183,18.75250
KpKoniczZMSP,33.61592467966574,Koniczynka,53.08065,18.68426
KpNakloPiotraSkargi,48.30172413793103,Nakło nad Notecią,53.13836,17.60514
KpTorunDziewulsk,30.319409897142858,Toruń,53.02865,18.66610
KpWloclOkrzei,38.02216066481994,Włocławek,52.65847,19.05931
KpWloclSielska,28.195255474452555,Włocławek,52.66472,19.03639
KpZielBoryTuch,19.27947976878613,Zielonka,53.66212,17.93402
LbBialaPOrzechowa,33.022408963585434,Biała Podlaska,52.02919,23.14939
LbKrasnikKoszarowa,30.627329192546583,Kraśnik,50.92824,22.22831
LbLublin_Sliwins_5,30.068571428571428,Lublin,51.27308,22.55167
LbPulawySkowieszynska,32.38,Puławy,51.41061,21.97638
LbRadzyPSitkowskiego,31.94214876033058,Radzyń Podlaski,51.78000,22.62594
LbZamoscHrubieszowsk,30.92054794520548,Zamość,50.71663,23.29025
LdBrzeziWIOSMReforma,44.0974930362117,Brzeziny,51.79781,19.75577
LdKutnoWIOSMKoscius,34.455089820359284,Kutno,52.23448,19.36819
LdLodzWSSEMLegiono,44.42225519287834,Łódź,51.77642,19.45294
LdLodzWSSEMRudzka,42.755616438356164,Łódź,51.70558,19.43484
LdOpocznWIOSMPlKosci,55.04606413994169,Opoczno,51.37584,20.28924
LdPabianWIOSMKilinsk,40.81712707182321,Pabianice,51.66318,19.35549
LdPiotrkWIOSMSienkie,43.362078651685394,Piotrków Trybunalski,51.40784,19.68869
LdRadomsWIOSMRolna2,43.94204545454546,Radomsko,51.06744,19.44869
LdRawaMaWIOSMNiepodl,40.93471074380165,Rawa Mazowiecka,51.76087,20.25057
LdSieradWSSEMGrunwal,38.69423076923077,Sieradz,51.59013,18.71733
LdSkiernWIOSMJagiell,42.77513812154696,Skierniewice,51.95956,20.14618
LdSkiernWIOSMKonopni,38.99431818181818,Skierniewice,51.95431,20.14938
LdTomaszWIOSMSwAnton,43.51041095890411,Tomaszów Mazowiecki,51.52626,20.01679
LdWielunWIOSMPOW,36.67084639498432,Wieluń,51.21783,18.58183
LdZdWolaWIOSMKrolews,42.82737430167598,Zduńska Wola,51.60144,18.94012
LuGorzowWIOS_AUT,36.11325648414986,Gorzów Wielkopolski,52.73821,15.22867
LuGorzowWIOS_MAN,23.893586005830905,Gorzów Wielkopolski,52.74704,15.24629
LuSulecWIOS_MOB,29.689333333333334,Sulęcin,52.43772,15.12244
LuWschowWIOS_AUT,24.347424657534248,Wschowa,51.79972,16.31750
LuZaryWIOS_AUT,29.427089337175794,Żary,51.64266,15.12781
LuZgoraWIOS_AUT,27.97448680351906,Zielona Góra,51.93978,15.51886
MpBochniWIOSKBar0106,35.845029239766085,Bochnia,49.96902,20.43951
MpBrzeskWIOSWiej0202,29.353448275862068,Brzesko,49.97595,20.60322
