woj,date,mean
ŁÓDZKIE,2010-01-01,87.8
ŁÓDZKIE,2010-01-02,71.86666666666667
ŁÓDZKIE,2010-01-03,90.26666666666667
ŁÓDZKIE,2010-01-04,93.33333333333333
ŁÓDZKIE,2010-01-05,111.83333333333333
ŁÓDZKIE,2010-01-06,77
ŁÓDZKIE,2010-01-07,123.6
ŁÓDZKIE,2010-01-08,97
ŁÓDZKIE,2010-01-09,51.96666666666667
ŁÓDZKIE,2010-01-10,34.4
ŁÓDZKIE,2010-01-11,66.8
ŁÓDZKIE,2010-01-12,89.1
ŁÓDZKIE,2010-01-13,85.775
ŁÓDZKIE,2010-01-14,84.5
ŁÓDZKIE,2010-01-15,92.625
ŁÓDZKIE,2010-01-16,86.03333333333333
ŁÓDZKIE,2010-01-17,60.7
ŁÓDZKIE,2010-01-18,68.55
ŁÓDZKIE,2010-01-19,70.425
ŁÓDZKIE,2010-01-20,64.35
ŁÓDZKIE,2010-01-21,61.025
ŁÓDZKIE,2010-01-22,84.25
ŁÓDZKIE,2010-01-23,91.75
ŁÓDZKIE,2010-01-24,101.25
ŁÓDZKIE,2010-01-25,155.75
ŁÓDZKIE,2010-01-26,236
ŁÓDZKIE,2010-01-27,150.5
ŁÓDZKIE,2010-01-28,49.483333333333334
ŁÓDZKIE,2010-01-29,50.083333333333336
ŁÓDZKIE,2010-01-30,48.71666666666667
ŁÓDZKIE,2010-01-31,95.66666666666667
ŁÓDZKIE,2010-02-01,102.16666666666667
ŁÓDZKIE,2010-02-02,71.83333333333333
ŁÓDZKIE,2010-02-03,55.516666666666666
ŁÓDZKIE,2010-02-04,72.45
ŁÓDZKIE,2010-02-05,68.88333333333333
ŁÓDZKIE,2010-02-06,56.38333333333333
ŁÓDZKIE,2010-02-07,76.16666666666667
ŁÓDZKIE,2010-02-08,134.16666666666666
ŁÓDZKIE,2010-02-09,166.28571428571428
ŁÓDZKIE,2010-02-10,118.6
ŁÓDZKIE,2010-02-11,63.94285714285714
ŁÓDZKIE,2010-02-12,96.42857142857143
ŁÓDZKIE,2010-02-13,120.11428571428571
ŁÓDZKIE,2010-02-14,78.16666666666667
ŁÓDZKIE,2010-02-15,60.166666666666664
ŁÓDZKIE,2010-02-16,114.5
ŁÓDZKIE,2010-02-17,97.16666666666667
ŁÓDZKIE,2010-02-18,96
ŁÓDZKIE,2010-02-19,82
ŁÓDZKIE,2010-02-20,81
ŁÓDZKIE,2010-02-21,69.5
ŁÓDZKIE,2010-02-22,51.483333333333334
ŁÓDZKIE,2010-02-23,63.142857142857146
ŁÓDZKIE,2010-02-24,111.14285714285714
ŁÓDZKIE,2010-02-25,130.28571428571428
ŁÓDZKIE,2010-02-26,89.14285714285714
ŁÓDZKIE,2010-02-27,56.642857142857146
ŁÓDZKIE,2010-02-28,44.8
ŁÓDZKIE,2010-03-01,25.9
ŁÓDZKIE,2010-03-02,40.17142857142857
ŁÓDZKIE,2010-03-03,64.7
ŁÓDZKIE,2010-03-04,59.333333333333336
ŁÓDZKIE,2010-03-05,52.36666666666667
ŁÓDZKIE,2010-03-06,56.5
ŁÓDZKIE,2010-03-07,54.68333333333334
ŁÓDZKIE,2010-03-08,105.83333333333333
ŁÓDZKIE,2010-03-09,121.66666666666667
ŁÓDZKIE,2010-03-10,104.5
ŁÓDZKIE,2010-03-11,92.85714285714286
ŁÓDZKIE,2010-03-12,113.28571428571429
ŁÓDZKIE,2010-03-13,34.65714285714286
ŁÓDZKIE,2010-03-14,24.614285714285714
ŁÓDZKIE,2010-03-15,29.28571428571429
ŁÓDZKIE,2010-03-16,42.9375
ŁÓDZKIE,2010-03-17,55.375
ŁÓDZKIE,2010-03-18,100.9
ŁÓDZKIE,2010-03-19,95.0375
ŁÓDZKIE,2010-03-20,62.4875
ŁÓDZKIE,2010-03-21,36.475
ŁÓDZKIE,2010-03-22,48.7875
ŁÓDZKIE,2010-03-23,76.375
ŁÓDZKIE,2010-03-24,76.77777777777777
ŁÓDZKIE,2010-03-25,80.575
ŁÓDZKIE,2010-03-26,60.85
ŁÓDZKIE,2010-03-27,67.05
ŁÓDZKIE,2010-03-28,40.7125
ŁÓDZKIE,2010-03-29,36.2
ŁÓDZKIE,2010-03-30,39.275
ŁÓDZKIE,2010-03-31,33.84285714285714
ŁÓDZKIE,2010-04-01,64.3
ŁÓDZKIE,2010-04-02,62.825
ŁÓDZKIE,2010-04-03,42.75714285714286
ŁÓDZKIE,2010-04-04,34.77142857142857
ŁÓDZKIE,2010-04-05,38.371428571428574
ŁÓDZKIE,2010-04-06,35.44285714285714
ŁÓDZKIE,2010-04-07,44.91428571428571
ŁÓDZKIE,2010-04-08,54.32857142857143
ŁÓDZKIE,2010-04-09,66.01428571428572
ŁÓDZKIE,2010-04-10,58.114285714285714
ŁÓDZKIE,2010-04-11,41.81428571428572
ŁÓDZKIE,2010-04-12,52.628571428571426
ŁÓDZKIE,2010-04-13,51.457142857142856
ŁÓDZKIE,2010-04-14,45.1625
ŁÓDZKIE,2010-04-15,40.1375
ŁÓDZKIE,2010-04-16,37.449999999999996
ŁÓDZKIE,2010-04-17,39.4125
ŁÓDZKIE,2010-04-18,41.525
ŁÓDZKIE,2010-04-19,44.9375
ŁÓDZKIE,2010-04-20,44.022222222222226
ŁÓDZKIE,2010-04-21,35.8
ŁÓDZKIE,2010-04-22,35.325
ŁÓDZKIE,2010-04-23,63.2625
ŁÓDZKIE,2010-04-24,56.875
ŁÓDZKIE,2010-04-25,32.8875
ŁÓDZKIE,2010-04-26,33.6
ŁÓDZKIE,2010-04-27,30.900000000000002
ŁÓDZKIE,2010-04-28,42.4875
ŁÓDZKIE,2010-04-29,40.1625
ŁÓDZKIE,2010-04-30,37.97142857142857
ŁÓDZKIE,2010-05-01,33.0375
ŁÓDZKIE,2010-05-02,27.425
ŁÓDZKIE,2010-05-03,24.775
ŁÓDZKIE,2010-05-04,28.8375
ŁÓDZKIE,2010-05-05,27.45
ŁÓDZKIE,2010-05-06,30.066666666666666
ŁÓDZKIE,2010-05-07,38.68888888888889
ŁÓDZKIE,2010-05-08,32.666666666666664
ŁÓDZKIE,2010-05-09,30.81111111111111
ŁÓDZKIE,2010-05-10,32.84444444444444
ŁÓDZKIE,2010-05-11,32.84444444444444
ŁÓDZKIE,2010-05-12,32.67777777777778
ŁÓDZKIE,2010-05-13,26.55
ŁÓDZKIE,2010-05-14,24.55
ŁÓDZKIE,2010-05-15,21.7125
ŁÓDZKIE,2010-05-16,18.95
ŁÓDZKIE,2010-05-17,13.9
ŁÓDZKIE,2010-05-18,15.4875
ŁÓDZKIE,2010-05-19,25.275
ŁÓDZKIE,2010-05-20,34.7
ŁÓDZKIE,2010-05-21,32.275
ŁÓDZKIE,2010-05-22,27.775
ŁÓDZKIE,2010-05-23,25.775000000000002
ŁÓDZKIE,2010-05-24,20.375
ŁÓDZKIE,2010-05-25,27.1375
ŁÓDZKIE,2010-05-26,31.5125
ŁÓDZKIE,2010-05-27,29.1875
ŁÓDZKIE,2010-05-28,23.3875
ŁÓDZKIE,2010-05-29,29.425
ŁÓDZKIE,2010-05-30,20
ŁÓDZKIE,2010-05-31,22.575
ŁÓDZKIE,2010-06-01,23.8625
ŁÓDZKIE,2010-06-02,21.3125
ŁÓDZKIE,2010-06-03,18.4
ŁÓDZKIE,2010-06-04,23.7625
ŁÓDZKIE,2010-06-05,17.475
ŁÓDZKIE,2010-06-06,23.525
ŁÓDZKIE,2010-06-07,30.2375
ŁÓDZKIE,2010-06-08,27.3875
ŁÓDZKIE,2010-06-09,31.5375
ŁÓDZKIE,2010-06-10,39.44444444444444
ŁÓDZKIE,2010-06-11,42.111111111111114
ŁÓDZKIE,2010-06-12,28.18888888888889
ŁÓDZKIE,2010-06-13,17.45714285714286
ŁÓDZKIE,2010-06-14,19.1125
ŁÓDZKIE,2010-06-15,27.9125
ŁÓDZKIE,2010-06-16,18.966666666666665
