city,date,mean
Łódź,2007-01-01,11.75
Łódź,2007-01-02,16.6355
Łódź,2007-01-03,17.698
Łódź,2007-01-04,17.06575
Łódź,2007-01-05,13.8855
Łódź,2007-01-06,17.91675
Łódź,2007-01-07,17.45825
Łódź,2007-01-08,24.64575
Łódź,2007-01-09,16.97925
Łódź,2007-01-10,16.625
Łódź,2007-01-11,10.802
Łódź,2007-01-12,14.66675
Łódź,2007-01-13,15.45825
Łódź,2007-01-14,11.27075
Łódź,2007-01-15,25.97925
Łódź,2007-01-16,31.375
Łódź,2007-01-17,28.198
Łódź,2007-01-18,9.59775
Łódź,2007-01-19,11.3125
Łódź,2007-01-20,13.35425
Łódź,2007-01-21,9.59375
Łódź,2007-01-22,15.54175
Łódź,2007-01-23,19.076
Łódź,2007-01-24,14.323
Łódź,2007-01-25,33.875
Łódź,2007-01-26,22.59375
Łódź,2007-01-27,13.125
Łódź,2007-01-28,12.22925
Łódź,2007-01-29,18.875
Łódź,2007-01-30,21.39575
Łódź,2007-01-31,15.21875
Łódź,2007-02-01,12.8645
Łódź,2007-02-02,21.59375
Łódź,2007-02-03,14.2065
Łódź,2007-02-04,17.823
Łódź,2007-02-05,18.9895
Łódź,2007-02-06,34.84375
Łódź,2007-02-07,38.10425
Łódź,2007-02-08,37.9895
Łódź,2007-02-09,45.60425
Łódź,2007-02-10,34.95825
Łódź,2007-02-11,34.85425
Łódź,2007-02-12,50.0105
Łódź,2007-02-13,45.823
Łódź,2007-02-14,32.75
Łódź,2007-02-15,24.869500000000002
Łódź,2007-02-16,24.25
Łódź,2007-02-17,27.72925
Łódź,2007-02-18,22.84375
Łódź,2007-02-19,38.97925
Łódź,2007-02-20,38.875
Łódź,2007-02-21,18.7605
Łódź,2007-02-22,25.7395
Łódź,2007-02-23,27.03125
Łódź,2007-02-24,31.89575
Łódź,2007-02-25,42.40625
Łódź,2007-02-26,36.10425
Łódź,2007-02-27,16.555666666666667
Łódź,2007-02-28,17.416666666666668
Łódź,2007-03-01,12.78125
Łódź,2007-03-02,12.95825
Łódź,2007-03-03,22.14575
Łódź,2007-03-04,33.77075
Łódź,2007-03-05,26.1875
Łódź,2007-03-06,28.71875
Łódź,2007-03-07,35.71875
Łódź,2007-03-08,31.75
Łódź,2007-03-09,35.1195
Łódź,2007-03-10,32.073
Łódź,2007-03-11,27.677
Łódź,2007-03-12,49.03125
Łódź,2007-03-13,48.375
Łódź,2007-03-14,28.66675
Łódź,2007-03-15,42.21875
Łódź,2007-03-16,37.89575
Łódź,2007-03-17,12.51125
Łódź,2007-03-18,10.1195
Łódź,2007-03-19,22.977249999999998
Łódź,2007-03-20,22.58325
Łódź,2007-03-21,20.472333333333335
Łódź,2007-03-22,26.823
Łódź,2007-03-23,27.02075
Łódź,2007-03-24,29.323
Łódź,2007-03-25,27.80425
Łódź,2007-03-26,33.79175
Łódź,2007-03-27,30.52075
Łódź,2007-03-28,39.4375
Łódź,2007-03-29,35.64575
Łódź,2007-03-30,38.25
Łódź,2007-03-31,40.41675
Łódź,2007-04-01,46.27075
Łódź,2007-04-02,62.60425
Łódź,2007-04-03,36.45825
Łódź,2007-04-04,21.6355
