woj,date,mean
ŁÓDZKIE,2006-01-01,53.97825
ŁÓDZKIE,2006-01-02,54.1166
ŁÓDZKIE,2006-01-03,42.994
ŁÓDZKIE,2006-01-04,39.416624999999996
ŁÓDZKIE,2006-01-05,27.05725
ŁÓDZKIE,2006-01-06,30.75525
ŁÓDZKIE,2006-01-07,70.302125
ŁÓDZKIE,2006-01-08,125.25525
ŁÓDZKIE,2006-01-09,167.256
ŁÓDZKIE,2006-01-10,152.515625
ŁÓDZKIE,2006-01-11,180.119
ŁÓDZKIE,2006-01-12,72.58328571428571
ŁÓDZKIE,2006-01-13,46.83114285714286
ŁÓDZKIE,2006-01-14,59.756
ŁÓDZKIE,2006-01-15,88.70828571428571
ŁÓDZKIE,2006-01-16,146.82142857142858
ŁÓDZKIE,2006-01-17,81.41071428571429
ŁÓDZKIE,2006-01-18,59.160714285714285
ŁÓDZKIE,2006-01-19,55.714285714285715
ŁÓDZKIE,2006-01-20,64.30357142857143
ŁÓDZKIE,2006-01-21,57.166714285714285
ŁÓDZKIE,2006-01-22,135.11314285714286
ŁÓDZKIE,2006-01-23,189.869
ŁÓDZKIE,2006-01-24,115.27385714285714
ŁÓDZKIE,2006-01-25,95.69042857142857
ŁÓDZKIE,2006-01-26,177.80957142857142
ŁÓDZKIE,2006-01-27,272.5892857142857
ŁÓDZKIE,2006-01-28,173
ŁÓDZKIE,2006-01-29,130
ŁÓDZKIE,2006-01-30,46
ŁÓDZKIE,2006-01-31,33.81542857142857
ŁÓDZKIE,2006-02-01,43.392857142857146
ŁÓDZKIE,2006-02-02,45.114625000000004
ŁÓDZKIE,2006-02-03,45.203125
ŁÓDZKIE,2006-02-04,67.708375
ŁÓDZKIE,2006-02-05,89.4115
ŁÓDZKIE,2006-02-06,80.849
ŁÓDZKIE,2006-02-07,32.796875
ŁÓDZKIE,2006-02-08,38.260374999999996
ŁÓDZKIE,2006-02-09,47.708375000000004
ŁÓDZKIE,2006-02-10,73.359375
ŁÓDZKIE,2006-02-11,42.84375
ŁÓDZKIE,2006-02-12,33.5
ŁÓDZKIE,2006-02-13,53.527125
ŁÓDZKIE,2006-02-14,70.255375
ŁÓDZKIE,2006-02-15,58.27175
ŁÓDZKIE,2006-02-16,64.6875
ŁÓDZKIE,2006-02-17,78.0365
ŁÓDZKIE,2006-02-18,63.104124999999996
ŁÓDZKIE,2006-02-19,82.9115
ŁÓDZKIE,2006-02-20,68.09375
ŁÓDZKIE,2006-02-21,35.525999999999996
ŁÓDZKIE,2006-02-22,36.104124999999996
ŁÓDZKIE,2006-02-23,63.898857142857146
ŁÓDZKIE,2006-02-24,33.416624999999996
ŁÓDZKIE,2006-02-25,59.104124999999996
ŁÓDZKIE,2006-02-26,67.677125
ŁÓDZKIE,2006-02-27,71.94275
ŁÓDZKIE,2006-02-28,66.359375
ŁÓDZKIE,2006-03-01,65.381
ŁÓDZKIE,2006-03-02,52.15625
ŁÓDZKIE,2006-03-03,63.354124999999996
ŁÓDZKIE,2006-03-04,91.16671428571429
ŁÓDZKIE,2006-03-05,72.63685714285714
ŁÓDZKIE,2006-03-06,96.90625
ŁÓDZKIE,2006-03-07,147.16671428571428
ŁÓDZKIE,2006-03-08,93.625
ŁÓDZKIE,2006-03-09,62.54757142857143
ŁÓDZKIE,2006-03-10,92.875
ŁÓDZKIE,2006-03-11,53.088499999999996
ŁÓDZKIE,2006-03-12,42.291624999999996
ŁÓDZKIE,2006-03-13,45.886857142857146
ŁÓDZKIE,2006-03-14,54.375
ŁÓDZKIE,2006-03-15,62.416624999999996
ŁÓDZKIE,2006-03-16,57.099000000000004
ŁÓDZKIE,2006-03-17,64.099
ŁÓDZKIE,2006-03-18,73.34375
ŁÓDZKIE,2006-03-19,42.59375
ŁÓDZKIE,2006-03-20,33.041714285714285
ŁÓDZKIE,2006-03-21,59.458285714285715
ŁÓDZKIE,2006-03-22,119.671875
ŁÓDZKIE,2006-03-23,118.64285714285714
ŁÓDZKIE,2006-03-24,59.682249999999996
ŁÓDZKIE,2006-03-25,92.484375
ŁÓDZKIE,2006-03-26,62.239125
ŁÓDZKIE,2006-03-27,43.958375000000004
ŁÓDZKIE,2006-03-28,45.09375
ŁÓDZKIE,2006-03-29,43.864625000000004
ŁÓDZKIE,2006-03-30,32.2065
ŁÓDZKIE,2006-03-31,18.39125
ŁÓDZKIE,2006-04-01,31.84375
ŁÓDZKIE,2006-04-02,42.051125
ŁÓDZKIE,2006-04-03,27.75525
ŁÓDZKIE,2006-04-04,31.645875
ŁÓDZKIE,2006-04-05,29.462
ŁÓDZKIE,2006-04-06,53.775999999999996
ŁÓDZKIE,2006-04-07,68.479125
ŁÓDZKIE,2006-04-08,54.036500000000004
ŁÓDZKIE,2006-04-09,41.349000000000004
ŁÓDZKIE,2006-04-10,28.13025
ŁÓDZKIE,2006-04-11,63.097166666666666
ŁÓDZKIE,2006-04-12,90.71428571428571
ŁÓDZKIE,2006-04-13,45.17857142857143
ŁÓDZKIE,2006-04-14,20.779714285714284
ŁÓDZKIE,2006-04-15,33.8416
ŁÓDZKIE,2006-04-16,21.15
ŁÓDZKIE,2006-04-17,28.0666
ŁÓDZKIE,2006-04-18,47.761857142857146
ŁÓDZKIE,2006-04-19,62.767857142857146
ŁÓDZKIE,2006-04-20,48.57633333333333
ŁÓDZKIE,2006-04-21,42.708285714285715
ŁÓDZKIE,2006-04-22,41.595285714285716
ŁÓDZKIE,2006-04-23,38.845285714285716
ŁÓDZKIE,2006-04-24,41.261857142857146
ŁÓDZKIE,2006-04-25,44.583333333333336
ŁÓDZKIE,2006-04-26,27.5625
ŁÓDZKIE,2006-04-27,46.465333333333334
ŁÓDZKIE,2006-04-28,56.3055
ŁÓDZKIE,2006-04-29,20.1334
ŁÓDZKIE,2006-04-30,25.3666
ŁÓDZKIE,2006-05-01,25.0084
ŁÓDZKIE,2006-05-02,23.3084
ŁÓDZKIE,2006-05-03,22.0625
ŁÓDZKIE,2006-05-04,46.32633333333333
ŁÓDZKIE,2006-05-05,64.64285714285714
ŁÓDZKIE,2006-05-06,61.849000000000004
ŁÓDZKIE,2006-05-07,42.767857142857146
ŁÓDZKIE,2006-05-08,44.142857142857146
ŁÓDZKIE,2006-05-09,29.03125
ŁÓDZKIE,2006-05-10,33.609375
ŁÓDZKIE,2006-05-11,42.525999999999996
ŁÓDZKIE,2006-05-12,44.923875
ŁÓDZKIE,2006-05-13,32.15625
ŁÓDZKIE,2006-05-14,20.798875
ŁÓDZKIE,2006-05-15,27.14675
ŁÓDZKIE,2006-05-16,28.177125
ŁÓDZKIE,2006-05-17,23.9635
ŁÓDZKIE,2006-05-18,24.0365
ŁÓDZKIE,2006-05-19,14.653
ŁÓDZKIE,2006-05-20,12.318142857142858
ŁÓDZKIE,2006-05-21,12.641666666666666
ŁÓDZKIE,2006-05-22,23.511857142857142
ŁÓDZKIE,2006-05-23,20.483
ŁÓDZKIE,2006-05-24,21.765625
ŁÓDZKIE,2006-05-25,15.032625
ŁÓDZKIE,2006-05-26,16.193125
ŁÓDZKIE,2006-05-27,20.11975
ŁÓDZKIE,2006-05-28,11
ŁÓDZKIE,2006-05-29,17.087
ŁÓDZKIE,2006-05-30,16.779285714285713
ŁÓDZKIE,2006-05-31,12.032428571428571
ŁÓDZKIE,2006-06-01,19.321428571428573
ŁÓDZKIE,2006-06-02,16.385375
ŁÓDZKIE,2006-06-03,15.2135
ŁÓDZKIE,2006-06-04,14.525
ŁÓDZKIE,2006-06-05,14.108
ŁÓDZKIE,2006-06-06,14.4375
ŁÓDZKIE,2006-06-07,18.361875
ŁÓDZKIE,2006-06-08,23.767875
ŁÓDZKIE,2006-06-09,17.208375
ŁÓDZKIE,2006-06-10,19.943125
ŁÓDZKIE,2006-06-11,18.520875
ŁÓDZKIE,2006-06-12,21.323875
ŁÓDZKIE,2006-06-13,25.111857142857144
ŁÓDZKIE,2006-06-14,34.849000000000004
ŁÓDZKIE,2006-06-15,28.328125
ŁÓDZKIE,2006-06-16,26.56775
ŁÓDZKIE,2006-06-17,26.820625
ŁÓDZKIE,2006-06-18,18.38125
ŁÓDZKIE,2006-06-19,22.041625
ŁÓDZKIE,2006-06-20,35.302125000000004
ŁÓDZKIE,2006-06-21,30.5885
ŁÓDZKIE,2006-06-22,23.208285714285715
ŁÓDZKIE,2006-06-23,26.890625
ŁÓDZKIE,2006-06-24,20.119
ŁÓDZKIE,2006-06-25,19.881
ŁÓDZKIE,2006-06-26,26.827428571428573
ŁÓDZKIE,2006-06-27,19.601142857142857
ŁÓDZKIE,2006-06-28,17.232142857142858
ŁÓDZKIE,2006-06-29,15.125
ŁÓDZKIE,2006-06-30,16.309571428571427
ŁÓDZKIE,2006-07-01,19.136857142857142
ŁÓDZKIE,2006-07-02,15.74475
ŁÓDZKIE,2006-07-03,19.5
ŁÓDZKIE,2006-07-04,24.4115
ŁÓDZKIE,2006-07-05,29.69075
ŁÓDZKIE,2006-07-06,31.37142857142857
ŁÓDZKIE,2006-07-07,27.666666666666668
ŁÓDZKIE,2006-07-08,27.0625
ŁÓDZKIE,2006-07-09,25.927125
ŁÓDZKIE,2006-07-10,28.453125
ŁÓDZKIE,2006-07-11,31.404714285714284
ŁÓDZKIE,2006-07-12,28.013833333333334
ŁÓDZKIE,2006-07-13,27.640625
ŁÓDZKIE,2006-07-14,18.989125
ŁÓDZKIE,2006-07-15,14.140625
ŁÓDZKIE,2006-07-16,11.895875
ŁÓDZKIE,2006-07-17,22.3385
ŁÓDZKIE,2006-07-18,24.479125
ŁÓDZKIE,2006-07-19,20.25525
ŁÓDZKIE,2006-07-20,23.18225
ŁÓDZKIE,2006-07-21,32.677125000000004
ŁÓDZKIE,2006-07-22,25.822875
