"";"Dzien";"Wroclaw";"Lodz";"Krakow";"Warszawa";"Poznan"
"1";2017-01-01;"57,49";"66,0";"169,6";"42,99";"40,61"
"2";2017-01-02;"33,77";"52,0";"78,7";"42,82";"26,61"
"3";2017-01-03;"17,84";"34,0";"37,2";"25,94";"16,45"
"4";2017-01-04;"10,0";"19,0";"15,7";"13,42";"9,55"
"5";2017-01-05;"14,17";"21,0";NA;"20,86";"8,85"
"6";2017-01-06;"17,63";"36,0";"29,5";"36,83";NA
"7";2017-01-07;"60,75";"98,0";"155,6";"66,77";NA
"8";2017-01-08;"71,97";"166,0";"220,9";"128,45";NA
"9";2017-01-09;"159,1";"157,0";"173,2";"146,96";NA
"10";2017-01-10;"111,07";"160,0";"162,7";"89,08";NA
"11";2017-01-11;"59,52";"102,0";"266,6";"96,7";NA
"12";2017-01-12;"25,09";"43,0";NA;"42,45";NA
"13";2017-01-13;"14,9";"45,0";NA;"51,89";NA
"14";2017-01-14;"25,23";"41,0";NA;"27,76";NA
"15";2017-01-15;"12,84";"50,0";NA;"47,17";NA
"16";2017-01-16;"29,1";"61,0";NA;"62,05";NA
"17";2017-01-17;"54,24";"91,0";NA;"96,7";"22,85"
"18";2017-01-18;"58,72";"116,0";NA;"86,36";"29,4"
"19";2017-01-19;"72,58";"84,0";NA;"61,51";"52,9"
"20";2017-01-20;"79,39";"88,0";"176,3";"54,97";"36,72"
"21";2017-01-21;"44,75";"66,0";"104,6";"36,29";"45,32"
"22";2017-01-22;"88,37";"55,0";"61,8";"34,65";"65,18"
"23";2017-01-23;"69,37";"97,0";"146,7";"85,27";"93,69"
"24";2017-01-24;"49,43";"125,0";"106,7";"106,68";"56,0"
"25";2017-01-25;"66,95";"89,0";"155,1";"44,45";"42,11"
"26";2017-01-26;"87,54";"98,0";"122,2";"80,74";"61,1"
"27";2017-01-27;"95,58";"160,0";"252,8";"136,8";"118,33"
"28";2017-01-28;"84,53";"167,0";"294,8";"118,48";"122,03"
"29";2017-01-29;"116,26";"159,0";"166,3";"70,21";"103,99"
"30";2017-01-30;"116,65";"143,0";"346,9";"70,4";"113,05"
"31";2017-01-31;"55,6";"131,0";"198,1";"76,2";"73,74"
"32";2017-02-01;"75,91";"160,0";"188,31";"78,2";"124,97"
"33";2017-02-02;"84,34";"157,0";"163,35";"95,25";"144,17"
"34";2017-02-03;"81,52";"62,0";"167,81";"86,54";"70,92"
"35";2017-02-04;"83,78";"68,0";"64,59";"39,01";"63,99"
"36";2017-02-05;"55,74";"64,0";"94,92";"30,3";"57,58"
