Rank	Episode	Episode name	Elo score
172	S9E3	Andy's Ancestry	709.5
173	S7E22	The Inner Circle	701.5
174	S8E8	Gettysburg	701.3
175	S6E14	The Banker	693.3
176	S8E22	Fundraiser	693.0
177	S7E17	Todd Packer	688.4
178	S8E7	Pam's Replacement	684.0
179	S8E5	Spooked	678.9
180	S9E1	New Guys	668.5
181	S9E5	Here Comes Treble	665.0
182	S9E13	Junior Salesman	663.4
183	S8E24	Free Family Portrait Studio	659.2
184	S8E21	Angry Andy	650.5
185	S9E12	Customer Loyalty	650.3
186	S8E19	Get the Girl	648.4
187	S8E15	Tallahassee	639.7
188	S8E20	Welcome Party	626.5
