Rok,Województwo,Kod strefy,Nazwa strefy,Kod stacji,Wskaźnik,Czas uśredniania,Średnia,Min,Max,L. dni > 120 (S8max),26 maks (S8max),Per. S93.2 (S8max),AOT40 V-VII,SOMO35,Liczba pomiarów,Kompl. lato,Kompl. zima,Liczba kompletnych mies. letnich (IV-IX),Kompletność/rok,Liczba Lato/Zima
2014,łódzkie,PL1002,strefa łódzka,LdGajewUjWod,O3,1g,46.4,0.8,151.1,9,111.8,112.3,13564,3559,8258,89,100,4,94.3,0.9
2014,łódzkie,PL1002,strefa łódzka,LdParzniUjWo,O3,1g,51.6,0.4,165.7,13,113.5,113.5,14608,4478,8702,100,99,6,99.3,1.0
2014,łódzkie,PL1002,strefa łódzka,LdPioTrKraPr,O3,1g,41.7,0.1,158.3,8,106.5,107.8,12307,3425,8252,94,94,5,94.2,1.0
2014,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBujaka,O3,1g,32.7,1.0,166.0,2,99.8,100.0,8516,2266,8433,96,96,5,96.3,1.0
2014,małopolskie,PL1202,miasto Tarnów,MpTarBitStud,O3,1g,43.6,1.0,135.0,4,106.8,107.6,11062,3339,8508,96,98,5,97.1,1.0
2014,małopolskie,PL1203,strefa małopolska,MpSzarowWIOS1908,O3,1g,46.5,1.0,155.0,9,110.9,111.5,13584,4133,8492,100,94,6,96.9,1.1
2014,małopolskie,PL1203,strefa małopolska,MpSzymbaGorl,O3,1g,54.6,1.0,193.0,19,117.9,118.3,22549,5408,8457,94,99,5,96.5,1.0
2014,małopolskie,PL1203,strefa małopolska,MpTrzebOsZWM,O3,1g,50.2,1.0,182.0,8,110.4,110.4,13657,3932,8720,100,99,6,99.5,1.0
2014,małopolskie,PL1203,strefa małopolska,MpZakopaSien,O3,1g,46.8,0.0,164.0,5,107.3,107.3,12118,4092,8727,100,99,6,99.6,1.0
2014,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarKondrat,O3,1g,38.2,0.6,141.6,4,98.4,98.4,6599,2319,8687,100,99,6,99.2,1.0
2014,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarPodlesn,O3,1g,38.1,0.0,147.0,4,102.9,104.4,8852,2666,8638,97,100,5,98.6,1.0
2014,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarWokalna,O3,1g,44.6,0.4,150.0,6,110.1,110.2,11075,3467,8645,99,98,6,98.7,1.0
2014,mazowieckie,PL1402,miasto Płock,MzPlocKroJad,O3,1g,43.6,0.1,130.9,2,100.8,100.8,7465,2229,8573,98,98,6,97.9,1.0
2014,mazowieckie,PL1403,miasto Radom,MzRadTochter,O3,1g,47.7,1.6,155.4,11,111.2,111.5,13898,3958,8638,99,98,6,98.6,1.0
2014,mazowieckie,PL1404,strefa mazowiecka,MzBelsIGFPAN,O3,1g,48.6,0.4,145.4,4,103.6,103.6,9192,3227,8700,99,100,6,99.3,1.0
2014,mazowieckie,PL1404,strefa mazowiecka,MzGranicaKPN,O3,1g,40.8,0.0,150.8,3,100.0,100.6,8205,2737,8682,99,99,6,99.1,1.0
2014,mazowieckie,PL1404,strefa mazowiecka,MzLegZegrzyn,O3,1g,46.7,0.1,172.9,24,119.8,120.6,16527,4656,8233,94,94,6,94.0,1.0
2014,mazowieckie,PL1404,strefa mazowiecka,MzPiasPulask,O3,1g,44.4,0.0,175.3,14,112.8,114.1,13113,4304,8203,94,94,4,93.6,1.0
2014,mazowieckie,PL1404,strefa mazowiecka,MzSiedKonars,O3,1g,48.8,0.1,148.5,8,107.3,107.6,10737,3722,8679,99,99,6,99.1,1.0
2014,opolskie,PL1601,miasto Opole,OpOpoleMinor,O3,1g,45.4,0.0,150.0,10,110.5,114.8,14299,3902,6677,87,65,4,76.2,1.4
2014,opolskie,PL1602,strefa opolska,OpKKozBSmial,O3,1g,41.2,0.0,158.0,13,105.4,121.0,17721,4743,4474,56,46,1,51.1,1.2
