"","x","y","k[, 2]"
"1",1999.01924890918,380922.115859766,380922.115859766
"2",2001.50140482736,360978.266110184,360978.266110184
"3",2005.49124063659,368180.211853089,368180.211853089
"4",2012.14709576534,385354.082470785,385354.082470785
