"","Wroclaw","Torun","Lodz","Krakow","Warszawa","Gdansk","Data"
"6",57.49,37.562489,61,143.4,43.18,20,1946-12-31
"7",33.77,20.926865,47,NA,36.1,10,1947-01-01
"8",17.84,14.877002,33,NA,20.14,10,1947-01-02
"9",10,4.311663,14,NA,8.53,10,1947-01-03
"10",14.17,9.131716,20,10.9,9.8,8,1947-01-04
"11",17.63,28.869757,35,24.8,16.69,46,1947-01-05
"12",60.75,47.33343,154,92.3,56.25,14,1947-01-06
"13",71.97,56.307494,263,130.4,100.88,51,1947-01-07
"14",159.1,103.189509,399,148.3,121.02,49,1947-01-08
"15",111.07,95.677062,209,146.6,89.63,89,1947-01-09
"16",59.52,54.671196,104,292.8,66.77,70,1947-01-10
"17",25.09,19.713171,40,43.1,35.92,18,1947-01-11
"18",14.9,22.941321,34,28.6,44.63,34,1947-01-12
"19",25.23,20.08221,34,29.3,25.94,21,1947-01-13
"20",12.84,32.348872,42,43.2,38.1,24,1947-01-14
"21",29.1,19.237763,67,89.9,55.15,27,1947-01-15
"22",54.24,45.306539,91,93.5,95.25,36,1947-01-16
"23",58.72,53.248998,111,34.9,102.51,24,1947-01-17
"24",72.58,58.430521,66,71,53.16,20,1947-01-18
"25",79.39,33.967599,89,144.5,52.98,14,1947-01-19
"26",44.75,24.943211,53,90.8,28.48,17,1947-01-20
"27",88.37,31.967694,53,61.9,28.67,18,1947-01-21
"28",69.37,71.277695,103,136.4,60.96,55,1947-01-22
"29",49.43,61.318006,114,115.6,96.88,33,1947-01-23
"30",66.95,53.364206,90,NA,37.37,34,1947-01-24
"31",87.54,60.942363,118,82.4,52.61,26,1947-01-25
"32",95.58,104.191728,207,259,103.96,69,1947-01-26
"33",84.53,130.814273,216,243.4,111.58,145,1947-01-27
"34",116.26,105.976188,200,203.7,59.51,102,1947-01-28
"35",116.65,137.795043,171,318.7,61.5,130,1947-01-29
"36",55.6,83.223122,175,211.6,70.03,83,1947-01-30
"37",75.91,81.258909,174,150.13,81.65,83,1947-01-31
"38",84.34,103.247915,184,143.02,91.98,87,1947-02-01
"39",81.52,74.770809,51,151.57,89.26,86,1947-02-02
"40",83.78,45.329122,58,76.94,40.64,49,1947-02-03
"41",55.74,35.224546,60,78.98,32.84,35,1947-02-04
"42",53.41,33.915519,56,68.78,36.29,36,1947-02-05
