Oddział,2016,2017
Warszawa,14.02,11.7
Bydgoszcz,4.03,1.8
Białystok,3.93,3.1
Łódź,5.95,4.1
Kielce,2,1.77
Gorzów Wlkp.,1.34,1.16
Gdańsk,5.79,5.28
Olsztyn,2.2,1.45
Opole,2.76,3
Kraków,11.39,10.28
Lublin,6.94,5.08
Poznań,8.68,6.05
Rzeszów,3.82,2.82
Szczecin,7.03,6.95
Katowice,10.04,7.91
Wrocław,6.48,6.5
