"entity","name","word"
17,"RONDO","a"
17,"RONDO","it"
17,"RONDO","worked"
17,"RONDO","that's"
17,"RONDO","what"
17,"RONDO","i'm"
17,"RONDO","talkin"
17,"RONDO","about"
17,"RONDO","knucklehead"
17,"RONDO","walks"
17,"RONDO","in"
17,"RONDO","a"
17,"RONDO","bank"
17,"RONDO","with"
17,"RONDO","a"
17,"RONDO","telephone"
17,"RONDO","not"
17,"RONDO","a"
17,"RONDO","pistol"
17,"RONDO","not"
17,"RONDO","a"
17,"RONDO","shotgun"
17,"RONDO","but"
17,"RONDO","a"
17,"RONDO","fuckin"
17,"RONDO","phone"
17,"RONDO","cleans"
17,"RONDO","the"
17,"RONDO","place"
17,"RONDO","out"
17,"RONDO","and"
17,"RONDO","they"
17,"RONDO","don't"
17,"RONDO","lift"
17,"RONDO","a"
17,"RONDO","fuckin"
17,"RONDO","finger"
18,"YOLANDA","did"
18,"YOLANDA","they"
18,"YOLANDA","hurt"
18,"YOLANDA","the"
18,"YOLANDA","little"
18,"YOLANDA","girl"
19,"RONDO","i"
19,"RONDO","don't"
19,"RONDO","know"
19,"RONDO","there"
19,"RONDO","probably"
19,"RONDO","never"
19,"RONDO","was"
19,"RONDO","a"
19,"RONDO","little"
19,"RONDO","girl"
19,"RONDO","the"
19,"RONDO","point"
19,"RONDO","of"
19,"RONDO","the"
19,"RONDO","story"
19,"RONDO","isn't"
19,"RONDO","the"
19,"RONDO","little"
19,"RONDO","girl"
19,"RONDO","the"
19,"RONDO","point"
19,"RONDO","of"
19,"RONDO","the"
19,"RONDO","story"
19,"RONDO","is"
19,"RONDO","they"
19,"RONDO","robbed"
19,"RONDO","the"
19,"RONDO","bank"
19,"RONDO","with"
19,"RONDO","a"
19,"RONDO","telephone"
20,"YOLANDA","you"
20,"YOLANDA","wanna"
20,"YOLANDA","rob"
20,"YOLANDA","banks"
21,"RONDO","i'm"
21,"RONDO","not"
21,"RONDO","sayin"
21,"RONDO","i"
21,"RONDO","wanna"
21,"RONDO","rob"
21,"RONDO","banks"
21,"RONDO","i'm"
21,"RONDO","just"
21,"RONDO","illustrating"
21,"RONDO","that"
21,"RONDO","if"
21,"RONDO","we"
21,"RONDO","did"
21,"RONDO","it"
21,"RONDO","would"
21,"RONDO","be"
21,"RONDO","easier"
21,"RONDO","than"
21,"RONDO","what"
21,"RONDO","we"
21,"RONDO","been"
21,"RONDO","doin"
22,"YOLANDA","so"
22,"YOLANDA","you"
22,"YOLANDA","don't"
22,"YOLANDA","want"
22,"YOLANDA","to"
22,"YOLANDA","be"
22,"YOLANDA","a"
22,"YOLANDA","bank"
22,"YOLANDA","robber"
23,"RONDO","naw"
23,"RONDO","all"
23,"RONDO","those"
23,"RONDO","guys"
23,"RONDO","are"
23,"RONDO","goin"
23,"RONDO","down"
23,"RONDO","the"
23,"RONDO","same"
23,"RONDO","road"
23,"RONDO","either"
23,"RONDO","dead"
23,"RONDO","or"
23,"RONDO","servin"
23,"RONDO","twenty"
24,"YOLANDA","and"
24,"YOLANDA","no"
24,"YOLANDA","more"
24,"YOLANDA","liquor"
24,"YOLANDA","stores"
25,"RONDO","what"
25,"RONDO","have"
25,"RONDO","we"
25,"RONDO","been"
25,"RONDO","talking"
25,"RONDO","about"
25,"RONDO","yeah"
25,"RONDO","no"
25,"RONDO","more"
25,"RONDO","liquor"
25,"RONDO","stores"
25,"RONDO","besides"
25,"RONDO","it"
25,"RONDO","ain't"
25,"RONDO","the"
25,"RONDO","giggle"
25,"RONDO","it"
25,"RONDO","usta"
25,"RONDO","be"
25,"RONDO","too"
25,"RONDO","many"
25,"RONDO","foreigners"
25,"RONDO","own"
25,"RONDO","liquor"
25,"RONDO","stores"
25,"RONDO","vietnamese"
25,"RONDO","koreans"
25,"RONDO","they"
25,"RONDO","can't"
25,"RONDO","fuckin"
25,"RONDO","speak"
25,"RONDO","english"
25,"RONDO","you"
25,"RONDO","tell"
25,"RONDO","em"
25,"RONDO","empty"
25,"RONDO","out"
25,"RONDO","the"
25,"RONDO","register"
25,"RONDO","and"
25,"RONDO","they"
25,"RONDO","don't"
25,"RONDO","know"
25,"RONDO","what"
25,"RONDO","it"
25,"RONDO","fuckin"
25,"RONDO","means"
25,"RONDO","they"
25,"RONDO","make"
25,"RONDO","it"
25,"RONDO","too"
25,"RONDO","personal"
25,"RONDO","we"
25,"RONDO","keep"
25,"RONDO","on"
25,"RONDO","one"
25,"RONDO","of"
25,"RONDO","those"
25,"RONDO","gook"
25,"RONDO","motherfuckers"
25,"RONDO","gonna"
25,"RONDO","make"
25,"RONDO","us"
25,"RONDO","kill"
25,"RONDO","em"
26,"YOLANDA","i'm"
26,"YOLANDA","not"
26,"YOLANDA","gonna"
26,"YOLANDA","kill"
26,"YOLANDA","anybody"
27,"RONDO","i"
27,"RONDO","don't"
27,"RONDO","wanna"
27,"RONDO","kill"
27,"RONDO","anybody"
27,"RONDO","either"
27,"RONDO","but"
27,"RONDO","they'll"
27,"RONDO","probably"
27,"RONDO","put"
27,"RONDO","us"
27,"RONDO","in"
27,"RONDO","a"
27,"RONDO","situation"
27,"RONDO","where"
27,"RONDO","it's"
27,"RONDO","us"
27,"RONDO","of"
27,"RONDO","them"
27,"RONDO","and"
27,"RONDO","if"
27,"RONDO","it's"
27,"RONDO","not"
27,"RONDO","the"
27,"RONDO","gooks"
27,"RONDO","it"
27,"RONDO","these"
27,"RONDO","old"
27,"RONDO","jews"
27,"RONDO","who've"
27,"RONDO","owned"
27,"RONDO","the"
27,"RONDO","store"
27,"RONDO","for"
27,"RONDO","fifteen"
27,"RONDO","fuckin"
27,"RONDO","generations"
27,"RONDO","ya"
27,"RONDO","got"
27,"RONDO","grandpa"
27,"RONDO","irving"
27,"RONDO","sittin"
27,"RONDO","behind"
27,"RONDO","the"
27,"RONDO","counter"
27,"RONDO","with"
27,"RONDO","a"
27,"RONDO","fuckin"
27,"RONDO","magnum"
27,"RONDO","try"
27,"RONDO","walkin"
27,"RONDO","into"
27,"RONDO","one"
27,"RONDO","of"
27,"RONDO","those"
27,"RONDO","stores"
27,"RONDO","with"
27,"RONDO","nothin"
27,"RONDO","but"
27,"RONDO","a"
27,"RONDO","telephone"
27,"RONDO","see"
27,"RONDO","how"
27,"RONDO","far"
27,"RONDO","it"
27,"RONDO","gets"
27,"RONDO","you"
27,"RONDO","fuck"
27,"RONDO","it"
27,"RONDO","forget"
27,"RONDO","it"
27,"RONDO","we're"
27,"RONDO","out"
27,"RONDO","of"
27,"RONDO","it"
28,"YOLANDA","well"
28,"YOLANDA","what"
28,"YOLANDA","else"
28,"YOLANDA","is"
28,"YOLANDA","there"
28,"YOLANDA","day"
28,"YOLANDA","jobs"
29,"RONDO","not"
29,"RONDO","this"
29,"RONDO","life"
30,"YOLANDA","well"
30,"YOLANDA","what"
30,"YOLANDA","then"
31,"RONDO","garcon"
31,"RONDO","coffee"
32,"RONDO","this"
32,"RONDO","place"
33,"WAITRESS","garcon"
33,"WAITRESS","means"
33,"WAITRESS","boy"
34,"YOLANDA","here"
34,"YOLANDA","it's"
34,"YOLANDA","a"
34,"YOLANDA","coffee"
34,"YOLANDA","shop"
35,"RONDO","what's"
35,"RONDO","wrong"
35,"RONDO","with"
35,"RONDO","that"
35,"RONDO","people"
35,"RONDO","never"
35,"RONDO","rob"
35,"RONDO","restaurants"
35,"RONDO","why"
35,"RONDO","not"
35,"RONDO","bars"
35,"RONDO","liquor"
35,"RONDO","stores"
35,"RONDO","gas"
35,"RONDO","stations"
35,"RONDO","you"
35,"RONDO","get"
35,"RONDO","your"
35,"RONDO","head"
35,"RONDO","blown"
35,"RONDO","off"
35,"RONDO","stickin"
35,"RONDO","up"
35,"RONDO","one"
35,"RONDO","of"
35,"RONDO","them"
35,"RONDO","restaurants"
35,"RONDO","on"
35,"RONDO","the"
35,"RONDO","other"
35,"RONDO","hand"
35,"RONDO","you"
35,"RONDO","catch"
35,"RONDO","with"
35,"RONDO","their"
35,"RONDO","pants"
35,"RONDO","down"
35,"RONDO","they're"
35,"RONDO","not"
35,"RONDO","expecting"
35,"RONDO","to"
35,"RONDO","get"
35,"RONDO","robbed"
35,"RONDO","or"
35,"RONDO","not"
35,"RONDO","as"
35,"RONDO","expecting"
36,"YOLANDA","i"
36,"YOLANDA","bet"
