"film_id"|"channel_id"|"date"|"time"
"611"|"967"|"20190115"|"23:10:14"
"3428"|"1739"|"20190114"|"18:46:58"
"1494"|"569"|"20190114"|"18:33:09"
"612"|"967"|"20190114"|"18:11:29"
"62"|"797"|"20190114"|"18:08:46"
"2712"|"552"|"20190114"|"16:45:18"
"648"|"592"|"20190114"|"15:33:59"
"1294"|"546"|"20190114"|"13:22:12"
"3962"|"917"|"20190114"|"12:47:39"
"578"|"522"|"20190114"|"12:38:35"
"653"|"847"|"20190114"|"12:38:18"
"103"|"1560"|"20190114"|"12:36:27"
"3409"|"1889"|"20190114"|"12:30:15"
"3411"|"1738"|"20190114"|"12:28:23"
"255"|"1423"|"20190114"|"12:16:12"
"3410"|"1737"|"20190114"|"12:13:32"
"2005"|"1305"|"20190114"|"03:19:39"
"185"|"1205"|"20190114"|"01:57:55"
"961"|"470"|"20190114"|"01:55:47"
"3416"|"1735"|"20190114"|"00:48:14"
"610"|"967"|"20190114"|"00:35:30"
"3389"|"328"|"20190113"|"18:39:32"
"1964"|"1785"|"20190113"|"18:39:26"
"64"|"328"|"20190113"|"18:39:14"
"1965"|"294"|"20190113"|"18:39:02"
"1966"|"295"|"20190113"|"18:38:17"
"585"|"176"|"20190113"|"15:47:01"
"3475"|"1739"|"20190112"|"17:21:55"
"3444"|"1739"|"20190112"|"15:32:45"
"3443"|"1739"|"20190112"|"15:31:52"
"3478"|"1739"|"20190112"|"15:27:32"
"3506"|"1739"|"20190112"|"15:24:11"
"3418"|"1739"|"20190112"|"15:20:03"
"3470"|"1739"|"20190112"|"13:17:33"
"3502"|"1739"|"20190112"|"13:14:30"
"3428"|"1739"|"20190112"|"13:07:09"
"342"|"1757"|"20190111"|"17:08:57"
"1302"|"1759"|"20190109"|"21:17:06"
"2953"|"1475"|"20190109"|"19:52:46"
"2951"|"1475"|"20190109"|"19:48:25"
"3497"|"1739"|"20190109"|"19:44:55"
"3508"|"1739"|"20190109"|"19:26:19"
"2960"|"1475"|"20190109"|"19:21:52"
"3428"|"1739"|"20190109"|"19:17:58"
"3502"|"1739"|"20190109"|"04:01:00"
"3470"|"1739"|"20190109"|"03:53:48"
"3418"|"1739"|"20190109"|"03:49:37"
"3794"|"978"|"20190109"|"00:22:46"
"3794"|"978"|"20190108"|"23:05:16"
"139"|"43"|"20190108"|"00:20:32"
"928"|"1920"|"20190107"|"22:54:04"
"1783"|"945"|"20190107"|"22:51:08"
"1781"|"945"|"20190107"|"22:45:53"
"1782"|"945"|"20190107"|"22:41:29"
"1084"|"136"|"20190107"|"22:38:05"
"1085"|"1443"|"20190107"|"22:34:09"
"3506"|"1739"|"20190107"|"22:30:49"
"1083"|"1443"|"20190107"|"22:12:05"
"874"|"959"|"20190107"|"21:27:40"
"66"|"18"|"20190107"|"21:00:07"
"2986"|"1189"|"20190107"|"20:52:31"
"1683"|"894"|"20190107"|"20:50:40"
"2551"|"894"|"20190107"|"20:50:09"
"1255"|"1700"|"20190107"|"20:17:06"
"896"|"894"|"20190107"|"19:56:13"
"1606"|"902"|"20190107"|"00:01:30"
"3421"|"1735"|"20190106"|"23:55:56"
"2960"|"1475"|"20190106"|"23:51:29"
"3501"|"1475"|"20190106"|"23:47:53"
"3416"|"1735"|"20190106"|"23:43:36"
"2958"|"1475"|"20190106"|"23:40:05"
"3470"|"1739"|"20190106"|"23:36:22"
"3418"|"1739"|"20190106"|"23:32:10"
"3502"|"1739"|"20190106"|"23:29:06"
"3428"|"1739"|"20190106"|"23:25:15"
"3644"|"967"|"20190106"|"23:00:40"
"986"|"1305"|"20190106"|"22:53:27"
"1314"|"10"|"20190106"|"14:08:55"
"1314"|"10"|"20190105"|"12:19:55"
"893"|"403"|"20190105"|"01:28:22"
"1334"|"69"|"20190103"|"02:07:03"
"743"|"963"|"20190102"|"23:27:50"
"3006"|"1481"|"20190102"|"23:24:27"
"2222"|"1689"|"20190102"|"23:17:33"
"2742"|"1062"|"20190102"|"23:15:35"
"2069"|"1062"|"20190102"|"23:09:29"
"2281"|"1689"|"20190102"|"23:06:29"
"409"|"8"|"20190102"|"22:58:43"
"408"|"8"|"20190102"|"22:55:19"
"405"|"8"|"20190102"|"22:50:15"
"407"|"8"|"20190102"|"22:44:55"
"4002"|"1799"|"20190102"|"22:21:29"
"2533"|"552"|"20190102"|"22:21:21"
"1963"|"294"|"20190102"|"22:20:44"
"1102"|"2043"|"20190102"|"22:20:37"
"1103"|"2035"|"20190102"|"22:20:26"
"2962"|"1475"|"20190102"|"15:41:43"
"3491"|"1739"|"20190102"|"15:38:40"
"3470"|"1739"|"20190102"|"15:34:56"
"3421"|"1735"|"20190102"|"15:27:28"
"3500"|"1475"|"20190102"|"14:34:32"
"3478"|"1739"|"20190102"|"14:30:12"
"2951"|"1475"|"20190102"|"14:25:51"
"3497"|"1739"|"20190102"|"14:22:22"
"3416"|"1735"|"20190102"|"14:17:53"
"857"|"1595"|"20190102"|"14:13:28"
"436"|"1595"|"20190102"|"14:13:23"
"2967"|"1475"|"20190102"|"12:18:51"
"3502"|"1739"|"20190102"|"12:15:47"
"2803"|"1475"|"20190102"|"12:11:41"
"3493"|"1475"|"20190102"|"12:07:23"
"3418"|"1739"|"20190102"|"12:03:10"
"2958"|"1475"|"20190102"|"11:59:40"
"2964"|"1475"|"20190102"|"11:55:14"
"3508"|"1739"|"20190102"|"02:34:01"
"2959"|"1475"|"20190102"|"02:29:16"
"3501"|"1475"|"20190102"|"02:25:42"
"1679"|"1475"|"20190102"|"02:22:05"
"1993"|"1802"|"20190102"|"00:48:37"
"1351"|"967"|"20190102"|"00:39:06"
"2353"|"967"|"20190102"|"00:37:18"
"3428"|"1739"|"20190101"|"23:58:46"
"657"|"1992"|"20190101"|"23:58:33"
"110"|"1922"|"20190101"|"23:43:42"
"657"|"1992"|"20181231"|"18:48:50"
"4007"|"1975"|"20181231"|"18:44:13"
"110"|"1922"|"20181231"|"17:27:20"
"2911"|"1922"|"20181231"|"14:52:00"
"3502"|"1739"|"20181231"|"12:22:14"
"3428"|"1739"|"20181231"|"12:17:59"
"887"|"963"|"20181230"|"19:26:06"
"1183"|"1922"|"20181230"|"19:25:48"
"4003"|"1922"|"20181230"|"19:01:05"
"2601"|"1922"|"20181230"|"18:48:54"
"99"|"1686"|"20181230"|"18:48:40"
"4075"|"1305"|"20181230"|"18:14:49"
"2804"|"1305"|"20181230"|"18:08:05"
"3347"|"1189"|"20181230"|"18:05:55"
"436"|"1595"|"20181230"|"17:59:12"
"3470"|"1739"|"20181230"|"17:55:30"
"3501"|"1475"|"20181230"|"17:51:56"
"3421"|"1735"|"20181230"|"17:47:18"
"3493"|"1475"|"20181230"|"17:43:00"
"3416"|"1735"|"20181230"|"17:38:47"
"2960"|"1475"|"20181230"|"17:34:20"
"3502"|"1739"|"20181230"|"17:31:16"
"2958"|"1475"|"20181230"|"17:27:45"
"2964"|"1475"|"20181230"|"17:23:18"
"3418"|"1739"|"20181230"|"16:53:02"
"2887"|"1450"|"20181229"|"22:53:16"
"572"|"1451"|"20181229"|"22:45:19"
"2886"|"1450"|"20181229"|"22:33:19"
"2885"|"1450"|"20181229"|"22:23:16"
"1384"|"378"|"20181229"|"18:10:36"
"1777"|"942"|"20181229"|"16:19:48"
"939"|"1400"|"20181229"|"16:15:10"
"261"|"1491"|"20181229"|"16:11:57"
"606"|"1248"|"20181229"|"16:07:42"
"1160"|"1055"|"20181229"|"16:05:09"
"657"|"1992"|"20181229"|"16:01:16"
"852"|"983"|"20181229"|"15:59:09"
"3804"|"1816"|"20181229"|"15:55:13"
"3211"|"1624"|"20181229"|"15:50:37"
"4007"|"1975"|"20181229"|"15:46:10"
"940"|"552"|"20181229"|"15:45:43"
"3003"|"8"|"20181228"|"23:17:54"
"3079"|"366"|"20181228"|"15:16:29"
