"title","genres","countries"
"The Infiltrator","Biography, Crime, Drama, Thriller","UK"
"Taken 2","Action, Crime, Thriller","France, USA"
"Journey to the Center of the Earth","Action, Adventure, Family, Fantasy, Sci-Fi","USA"
"Prisoners","Crime, Drama, Mystery, Thriller","USA"
"The Muppets","Adventure, Comedy, Family","USA"
"Blended","Comedy, Romance","USA"
"Revolutionary Road","Drama, Romance","USA, UK"
"Babylon A.D.","Action, Adventure, Sci-Fi, Thriller","France"
"Aliens in the Attic","Animation, Adventure, Comedy","USA, Canada"
"The Ghost Writer","Drama, Mystery, Thriller","France, Germany, UK"
"Miracle at St. Anna","Action, Crime, Drama","USA, Italy"
"Bangkok Dangerous","Action, Crime, Thriller","USA"
"Johnny English Reborn","Action, Adventure, Comedy, Crime","USA, France, UK"
"Argo","Biography, Drama, Thriller","USA"
"The Bounty Hunter","Action, Comedy, Romance","USA"
"Victor Frankenstein","Drama, Horror, Sci-Fi","UK, Canada, USA"
"Victor Frankenstein","Drama, Horror, Sci-Fi","UK, Canada, USA"
"Victor Frankenstein","Drama, Horror, Sci-Fi","UK, Canada, USA"
"Charlie St. Cloud","Drama, Fantasy, Romance","USA, Canada"
"The Mechanic","Action, Crime, Thriller","USA"
"21 Jump Street","Action, Comedy, Crime","USA"
"The Heat","Action, Comedy, Crime","USA"
"Here Comes the Boom","Action, Comedy, Sport","USA"
"Red Riding Hood","Fantasy, Horror, Mystery, Romance, Thriller","USA, Canada"
"The Warrior's Way","Action, Fantasy, Western","New Zealand, South Korea"
"Micmacs","Action, Comedy, Crime","France"
"Man on a Ledge","Action, Adventure, Crime, Thriller","USA"
"The Big Year","Comedy","USA"
"American Hustle","Crime, Drama","USA"
"The Proposal","Comedy, Drama, Romance","USA"
"Lucy","Action, Sci-Fi, Thriller","France, Taiwan, Germany"
"Fifty Shades of Grey","Drama, Romance, Thriller","USA"
"Lone Survivor","Action, Biography, Drama, Thriller, War","USA"
"The Conjuring 2","Horror, Mystery, Thriller","Canada, USA"
"The Social Network","Biography, Drama","USA"
"He's Just Not That Into You","Comedy, Drama, Romance","Germany, USA"
"Get Hard","Comedy, Crime","USA"
"Julie & Julia","Crime, Drama, Film-Noir, Mystery, Thriller","USA"
"42","Biography, Drama, Sport","USA"
"Dumb and Dumber To","Adventure, Comedy","USA"
"The Intern","Comedy, Drama","USA"
"Ride Along 2","Action, Comedy","USA"
"Vantage Point","Action, Crime, Drama, Mystery, Thriller","USA"
"I Love You, Man","Comedy, Romance","USA"
"17 Again","Comedy, Drama, Fantasy","USA"
"The Other Woman","Comedy, Romance","USA"
"The Final Destination","Horror, Thriller","USA"
"Bridge of Spies","Drama, History, Thriller","Germany, India, USA"
"Get Him to the Greek","Adventure, Comedy, Music","USA"
"The Lincoln Lawyer","Crime, Drama, Thriller","USA"
"Unknown","Action, Mystery, Thriller","UK, Germany, France, USA"
"Unknown","Action, Mystery, Thriller","UK, Germany, France, USA"
"Horrible Bosses 2","Comedy, Crime","USA"
"Predators","Action, Adventure, Sci-Fi","USA"
"The Odd Life of Timothy Green","Comedy, Drama, Family, Fantasy","USA"
"Made of Honor","Comedy, Romance","USA, UK"
"Jersey Boys","Biography, Drama, Music, Musical","USA"
"Paul","Adventure, Comedy, Sci-Fi","USA, UK"
"The Guilt Trip","Comedy, Drama","USA"
"Scream 4","Horror, Mystery","USA"
"Sex Tape","Comedy, Romance","USA"
"Final Destination 5","Horror, Thriller","USA, Canada, Singapore, Hong Kong"
"Drillbit Taylor","Comedy, Drama","USA"
"A Million Ways to Die in the West","Action, Comedy, Western","USA"
"Extremely Loud & Incredibly Close","Adventure, Drama, Mystery","USA"
"Morning Glory","Comedy, Drama, Romance","USA"
"The Other Boleyn Girl","Biography, Drama, History, Romance","UK, USA"
"Colombiana","Action, Crime, Drama, Thriller","France"
"The Impossible","Drama, History, Thriller","Spain, USA"
"Fantastic Mr. Fox","Animation, Adventure, Comedy, Crime, Family","USA"
"Big Miracle","Biography, Drama, Family, Romance","USA, UK"
"Cirque du Freak: The Vampire's Assistant","Action, Adventure, Fantasy, Thriller","USA"
"Soul Men","Comedy, Drama, Music","USA"
"Pandorum","Action, Horror, Mystery, Sci-Fi, Thriller","Germany, UK, USA"
"A Thousand Words","Comedy, Drama","USA"
"Delgo","Animation, Adventure, Comedy","USA"
"The Gunman","Action, Crime, Drama","USA, Spain, UK, France"
"Snowpiercer","Action, Drama, Sci-Fi","South Korea, Czech Republic"
"Baahubali: The Beginning","Action, Drama, Fantasy","India"
"The Time Traveler's Wife","Drama, Fantasy, Romance, Sci-Fi","USA"
"Frankenweenie","Animation, Comedy, Family, Horror, Sci-Fi","USA"
"Grudge Match","Comedy, Drama, Sport","USA"
"Red Cliff","Action, Adventure, Drama, History, War","China, Hong Kong, Japan, Taiwan, South Korea"
"The Ugly Truth","Comedy, Romance","USA"
"The Grandmaster","Action, Biography, Drama, Romance, War","Hong Kong, China"
"Water for Elephants","Drama, Romance","USA"
"Paul Blart: Mall Cop 2","Action, Comedy, Crime, Family","USA"
"Riddick","Action, Sci-Fi, Thriller","USA"
"City of Ember","Adventure, Family, Fantasy, Sci-Fi","USA"
"The Master","Drama","USA"
"The Express","Biography, Drama, Sport","USA, Germany"
"The 5th Wave","Action, Adventure, Sci-Fi, Thriller","USA"
"Creed","Drama, Sport","USA"
"The Town","Crime, Drama, Thriller","USA"
"What to Expect When You're Expecting","Comedy, Drama, Romance","USA"
"Burn After Reading","Comedy, Crime, Drama, Thriller","USA, UK, France"
"Nim's Island","Adventure, Comedy, Family, Fantasy","USA"
"Rush","Action, Biography, Drama, Sport","UK, Germany, USA"
"Cop Out","Action, Comedy, Crime, Thriller","USA"
"How to Be Single","Comedy, Drama, Romance","USA"
"Dolphin Tale","Drama, Family","Canada, USA"
"Twilight","Drama, Fantasy, Romance","USA"
"Twilight","Drama, Fantasy, Romance","USA"
"We're the Millers","Comedy, Crime","USA"
"Hot Tub Time Machine","Comedy, Sci-Fi","USA"
"Dolphin Tale 2","Drama, Family","USA"
"Aloha","Comedy, Drama, Romance","USA"
"Aloha","Comedy, Drama, Romance","USA"
"The Rite","Drama, Horror, Mystery, Thriller","USA, Hungary, Italy"
"Space Chimps","Animation, Adventure, Comedy, Family, Sci-Fi","USA"
"The Hangover","Comedy","USA, Germany"
"Ip Man 3","Action, Biography, Drama, History","China, Hong Kong"
"There Be Dragons","Biography, Drama, War","Spain, USA"
"The Blind Side","Biography, Drama, Sport","USA"
"Horrible Bosses","Comedy, Crime","USA"
"True Grit","Adventure, Drama, Western","USA"
"Identity Thief","Adventure, Comedy, Crime, Drama","USA"
"21","Crime, Drama, History, Thriller","USA"
"Trainwreck","Comedy, Drama, Romance","USA, Japan"
"Secretariat","Biography, Drama, Family, History, Sport","USA"
"Friends with Benefits","Comedy, Romance","USA"
"Neighbors 2: Sorority Rising","Comedy","USA, China"
"Saving Mr. Banks","Biography, Comedy, Drama, Family, Music","USA, UK, Australia"
"This Is 40","Comedy, Romance","USA"
"Old Dogs","Comedy, Family","USA"
"Underworld: Rise of the Lycans","Action, Adventure, Fantasy","USA, New Zealand"
"Max Payne","Action, Crime, Drama, Mystery, Thriller","Canada, USA"
"In Time","Action, Sci-Fi, Thriller","USA"
"Something Borrowed","Comedy, Drama, Romance","USA"
"J. Edgar","Biography, Crime, Drama, History, Romance","USA"
"Mirrors","Horror, Mystery","USA, Romania, Germany"
"Untraceable","Crime, Horror, Mystery, Thriller","USA"
"Alex Cross","Action, Crime, Mystery, Thriller","USA, France"
"Heist","Action, Crime, Drama","Canada, USA"
"Heist","Action, Crime, Drama","Canada, USA"
"Nanny McPhee Returns","Comedy, Family, Fantasy","UK, France, USA"
"Concussion","Biography, Drama, Sport","UK, Australia, USA"
"Abduction","Action, Mystery, Thriller","USA"
"Superhero Movie","Action, Comedy","USA"
"Broken City","Crime, Drama, Thriller","USA"
"Premium Rush","Action, Crime, Thriller","USA"
"Hot Pursuit","Action, Comedy, Crime","USA"
"Hot Pursuit","Action, Comedy, Crime","USA"
"Parker","Action, Crime, Romance, Thriller","USA"
"Furry Vengeance","Comedy, Family","USA, United Arab Emirates"
"Bait","Action, Horror, Thriller","Australia, Singapore"
"The Young Victoria","Biography, Drama, History","UK, USA"
"Whiteout","Action, Crime, Horror, Mystery, Thriller","USA, Canada, France, Turkey"
"The Tree of Life","Drama, Fantasy","USA"
"Punisher: War Zone","Action, Adventure, Crime, Drama, Thriller","USA, Canada, Germany"
"The Walk","Adventure, Biography, Drama, Thriller","USA"
"Biutiful","Drama, Romance","Mexico, Spain"
"The Maze Runner","Action, Mystery, Sci-Fi, Thriller","USA, UK"
"Unfinished Business","Comedy, Drama","USA"
"Stolen","Action, Crime, Drama, Thriller","USA"
"Ponyo","Animation, Adventure, Comedy, Family, Fantasy","Japan"
"The Longest Ride","Drama, Romance","USA"
"Playing for Keeps","Comedy, Romance, Sport","USA"
"Mandela: Long Walk to Freedom","Biography, Drama, History","UK, South Africa, France"
"The Darkest Hour","Action, Adventure, Horror, Sci-Fi, Thriller","USA"
"Step Up Revolution","Drama, Music, Romance","USA"
"Safe","Action, Crime, Thriller","USA"
"Doomsday","Action, Sci-Fi, Thriller","UK, USA, South Africa, Germany"
"The Reader","Drama, Romance","USA, Germany"
"Wanderlust","Comedy, Romance","USA"
"Bridesmaids","Comedy, Romance","USA"
"Takers","Action, Crime, Thriller","USA"
"The Big Wedding","Comedy, Drama, Romance","USA"
"Big Mommas: Like Father, Like Son","Action, Comedy, Crime","USA"
"Source Code","Mystery, Romance, Sci-Fi, Thriller","USA, Canada"
"Repo Men","Action, Crime, Sci-Fi, Thriller","USA, Canada"
"The Incredible Burt Wonderstone","Adventure, Comedy, Fantasy","USA"
"Going the Distance","Comedy, Romance","USA"
"Criminal","Action, Crime, Drama, Mystery, Sci-Fi, Thriller","USA, UK"
"Flight","Drama, Thriller","USA"
"The Grand Budapest Hotel","Adventure, Comedy, Drama","USA, Germany"
"Vacation","Adventure, Comedy","USA"
"The Vow","Drama, Romance","USA, France, Australia, UK, Germany, Canada"
"Extraordinary Measures","Drama","USA"
"Lee Daniels' The Butler","Biography, Drama","USA"
"District 9","Sci-Fi, Thriller","South Africa, USA, New Zealand, Canada"
"27 Dresses","Comedy, Romance","USA"
"Up in the Air","Drama, Romance","USA"
"Warm Bodies","Comedy, Horror, Romance","USA, Canada"
"Looper","Action, Crime, Drama, Sci-Fi, Thriller","USA, China"
"Hope Springs","Comedy, Drama, Romance","USA"
"Forgetting Sarah Marshall","Comedy, Drama, Romance","USA"
"Baby Mama","Comedy, Romance","USA"
"Bride Wars","Comedy, Romance","USA"
"Midnight in Paris","Comedy, Fantasy, Romance","Spain, USA, France"
"The Nut Job","Animation, Adventure, Comedy, Crime, Family","Canada, South Korea, USA"
"Letters to Juliet","Adventure, Comedy, Drama, Romance","USA"
"The Three Stooges","Comedy, Family","USA"
"Sicario","Action, Crime, Drama, Mystery, Thriller","USA, Mexico"
"Southpaw","Drama, Sport","Hong Kong, USA"
"Drag Me to Hell","Horror, Thriller","USA"
"The Age of Adaline","Drama, Fantasy, Romance","USA, Canada"
"The Cabin in the Woods","Comedy, Horror","USA"
"Meet the Spartans","Comedy","USA"
"Hanna","Action, Drama, Thriller","USA, UK, Germany"
"Larry Crowne","Comedy, Drama, Romance","USA"
"Carrie","Horror","USA"
"Carrie","Horror","USA"
"9","Animation, Action, Adventure, Drama, Mystery, Sci-Fi, Thriller","USA"
"Side Effects","Crime, Drama, Mystery, Thriller","USA"
"Side Effects","Crime, Drama, Mystery, Thriller","USA"
"Winnie the Pooh","Animation, Adventure, Comedy, Family, Musical","USA"
"Sanctum","Adventure, Drama, Thriller","USA, Australia"
"The Five-Year Engagement","Comedy, Romance","USA, Japan"
"The Next Three Days","Action, Crime, Drama","USA, France"
"Splice","Drama, Horror, Sci-Fi","Canada, France, USA"
"Fright Night","Comedy, Horror","USA"
"The Last Stand","Action, Thriller","USA"
"Hoodwinked Too! Hood vs. Evil","Animation, Action, Comedy","USA"
"The Imaginarium of Doctor Parnassus","Adventure, Comedy, Fantasy","UK, Canada, France, USA"
"Runner Runner","Crime, Thriller","USA"
"Dead Man Down","Action, Crime, Drama, Thriller","USA"
"1911","Action, Adventure, Drama","China, Hong Kong"
"Machine Gun Preacher","Action, Biography, Crime","USA"
"United Passions","Drama, History, Sport","France"
"Sausage Party","Animation, Adventure, Comedy, Fantasy","USA"
"Pitch Perfect 2","Comedy, Music","USA"
"Frost/Nixon","Biography, Drama, History","USA, UK, France"
"The Boss","Comedy","USA"
"Straight Outta Compton","Biography, Drama, History, Music","USA"
"Florence Foster Jenkins","Biography, Comedy, Drama, Music","UK, France"
"Role Models","Comedy","Germany, USA"
"The Big Short","Biography, Comedy, Drama, History","USA"
"Taking Woodstock","Biography, Comedy, Drama, Music","USA"
"Last Vegas","Comedy, Drama","USA"
"Safe Haven","Drama, Romance, Thriller","USA"
"Kick-Ass","Action, Comedy","UK, USA"
"30 Minutes or Less","Action, Comedy, Crime","USA"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Comedy, Family","USA"
"3 Days to Kill","Action, Drama, Thriller","USA, France, Serbia"
"The Spy Next Door","Action, Comedy, Family","USA"
"Our Brand Is Crisis","Comedy, Drama","USA"
"Pride and Prejudice and Zombies","Action, Horror, Romance","USA, UK"
"Kick-Ass 2","Action, Comedy, Crime","USA, UK"
"Brick Mansions","Action, Crime, Sci-Fi, Thriller","France, Canada, USA"
"My Sister's Keeper","Drama, Family","USA"
"The Sisterhood of the Traveling Pants 2","Comedy, Drama, Romance","USA"
"Joyful Noise","Comedy, Drama, Music","USA"
"Anonymous","Drama, Thriller","UK, Germany, USA"
"The Duchess","Biography, Drama, History, Romance","UK, Italy, France, USA"
"Case 39","Horror, Mystery, Thriller","USA, Canada"
"Money Monster","Crime, Drama, Thriller","USA"
"Paul Blart: Mall Cop","Action, Comedy, Crime, Family","USA"
"A Walk Among the Tombstones","Crime, Drama, Mystery","USA"
"Pineapple Express","Action, Comedy, Crime","USA"
"Brothers","Drama, War","USA"
"Brothers","Drama, War","USA"
"New Year's Eve","Comedy, Romance","USA"
"The Raven","Crime, Mystery, Thriller","USA, Spain, Hungary, Serbia"
"Gran Torino","Drama","Germany, USA"
"W.","Biography, Drama, History","USA, Australia, Hong Kong, Switzerland, China"
"Taken","Action, Crime, Thriller","France, USA"
"The Best of Me","Drama, Romance","USA"
"The Help","Drama","USA, India, United Arab Emirates"
"The Fifth Estate","Biography, Drama, Thriller","USA, India, Belgium"
"Cloverfield","Action, Horror, Sci-Fi, Thriller","USA"
"Ride Along","Action, Comedy, Crime","USA"
"Parental Guidance","Comedy, Family","USA"
"No Strings Attached","Comedy, Romance","USA"
"The Lucky One","Drama, Romance","USA"
"The Grey","Action, Adventure, Drama, Thriller","USA"
"Contraband","Action, Crime, Drama, Thriller","USA, UK, France"
"The House Bunny","Comedy, Romance","USA"
"Million Dollar Arm","Biography, Drama, Sport","USA"
"The Giver","Drama, Romance, Sci-Fi","South Africa, Canada, USA"
"Blood Ties","Crime, Drama, Thriller","France, USA"
"The Sitter","Comedy","USA"
"Dance Flick","Action, Comedy, Music","USA"
"The Gambler","Crime, Drama, Thriller","USA"
"The Gambler","Crime, Drama, Thriller","USA"
"August: Osage County","Drama","USA"
"Eddie the Eagle","Biography, Comedy, Drama, Sport","UK, Germany, USA"
"Eddie the Eagle","Biography, Comedy, Drama, Sport","UK, Germany, USA"
"Dear John","Drama, Romance, War","USA"
"The Losers","Action, Adventure, Crime","USA"
"Don't Be Afraid of the Dark","Fantasy, Horror, Thriller","USA, Australia, Mexico"
"The Box","Drama, Fantasy, Mystery, Sci-Fi, Thriller","USA"
"The Ruins","Horror","USA, Germany, Australia"
"My Soul to Take","Horror, Mystery, Thriller","USA"
"My Soul to Take","Horror, Mystery, Thriller","USA"
"Legend","Biography, Crime, Drama, Thriller","UK, France, USA"
"Legend","Biography, Crime, Drama, Thriller","UK, France, USA"
"Shark Night 3D","Horror, Thriller","USA"
"Draft Day","Drama, Sport","USA"
"The Conspirator","Crime, Drama, History","USA"
"The 33","Biography, Drama, History","Chile, USA"
"Warrior","Drama, Sport","USA"
"Stop-Loss","Drama, War","USA"
"The Possession","Horror, Thriller","USA, Canada"
"The Possession","Horror, Thriller","USA, Canada"
"The Road","Adventure, Drama","USA"
"Blindness","Drama, Mystery, Sci-Fi, Thriller","Canada, Brazil, Japan"
"Carnage","Comedy, Drama","France, Germany, Poland, Spain, USA"
"Me and Orson Welles","Comedy, Drama","UK, Isle Of Man, USA"
"The Best Offer","Crime, Drama, Mystery","Italy"
"Bad Lieutenant: Port of Call New Orleans","Crime, Drama","USA"
"Little White Lies","Comedy, Drama","France"
"Love Ranch","Biography, Comedy, Drama","USA, Germany"
"The Counselor","Short, Drama, Thriller","USA"
"Kung Fu Killer","Action, Drama","China, Hong Kong"
"On the Road","Adventure, Drama, Romance","France, USA, UK, Brazil, Canada, Argentina"
"Jane Got a Gun","Action, Drama, Western","USA"
"Think Like a Man Too","Comedy, Romance","USA"
"Zack and Miri Make a Porno","Comedy, Romance","USA"
"The Men Who Stare at Goats","Comedy, War","USA, UK"
"I Don't Know How She Does It","Comedy, Romance","USA"
"Piranha 3D","Comedy, Horror, Thriller","USA"
"Faster","Action, Crime, Drama, Thriller","USA"
"Zombieland","Adventure, Comedy, Horror, Sci-Fi","USA"
"The Ides of March","Drama, Thriller","USA"
"The Adventurer: The Curse of the Midas Box","Adventure, Family, Fantasy","UK, Spain, Belgium"
"Haywire","Action, Drama, Thriller","Ireland, USA"
"The Longshots","Biography, Comedy, Drama","USA"
"Coco Before Chanel","Biography, Drama","France, Belgium"
"The Water Diviner","Drama, History, War","Australia, USA"
"The Hundred-Foot Journey","Comedy, Drama","USA, United Arab Emirates, India"
"Son of God","Biography, Drama, History","USA"
"The Informant!","Biography, Comedy, Crime, Drama","USA"
"Delivery Man","Comedy, Drama","USA, India, Canada"
"Our Kind of Traitor","Crime, Drama, Thriller","UK, France"
"Diary of a Wimpy Kid: Dog Days","Comedy, Family","USA, Canada"
"Hail, Caesar!","Comedy, Mystery","UK, Japan, USA"
"Homefront","Action, Crime, Drama","USA"
"The Transporter Refueled","Action, Adventure, Crime, Thriller","France, China, Belgium"
"Hit and Run","Action, Comedy, Romance","USA"
"Mad Money","Comedy, Crime, Thriller","USA"
"Stone","Drama, Thriller","USA"
"Out of the Furnace","Crime, Drama, Thriller","UK, USA"
"Underdogs","Animation, Adventure, Family","Argentina, Spain"
"To Rome with Love","Comedy, Music, Romance","USA, Italy, Spain"
"Silver Linings Playbook","Comedy, Drama, Romance","USA"
"For Colored Girls","Drama","USA"
"Never Back Down","Action, Drama, Sport","USA"
"Away We Go","Comedy, Drama, Romance","USA, UK"
"Swing Vote","Comedy, Drama","USA"
"The Beaver","Drama","USA, United Arab Emirates"
"Beverly Hills Chihuahua","Adventure, Comedy, Drama, Family, Romance","USA"
"The Conjuring","Horror, Mystery, Thriller","USA"
"Tammy","Comedy, Romance","USA"
"The Descendants","Comedy, Drama","USA"
"The Last Song","Drama, Music, Romance","USA"
"12 Years a Slave","Biography, Drama, History","USA, UK"
"Me Before You","Drama, Romance","UK, USA"
"Bad Moms","Comedy","USA"
"Bad Moms","Comedy","USA"
"Selma","Biography, Drama, History","UK, USA, France"
"Orphan","Horror, Mystery, Thriller","USA, Canada, Germany"
"Max","Adventure, Drama, Family, Fantasy, War","USA"
"Spotlight","Crime, Drama, History","USA"
"Lakeview Terrace","Crime, Drama, Thriller","USA"
"The American","Crime, Drama, Thriller","USA, UK"
"Vampires Suck","Comedy","USA"
"Doubt","Drama, Mystery","USA"
"Texas Chainsaw 3D","Horror, Thriller","USA"
"Scary Movie 5","Comedy","USA"
"Milk","Biography, Drama","USA"
"Risen","Action, Adventure, Drama, Mystery","USA"
"A Very Harold & Kumar 3D Christmas","Adventure, Comedy","USA"
"The Stepfather","Crime, Thriller","USA"
"The Debt","Drama, Thriller","USA, UK, Hungary, Israel"
"One Missed Call","Horror, Mystery","Japan, USA, Germany"
"The Bank Job","Crime, Drama, Romance, Thriller","UK, USA, Australia"
"You Again","Comedy, Family, Romance","USA"
"Street Kings","Action, Crime, Drama, Thriller","USA"
"The World's End","Action, Comedy, Sci-Fi","UK, USA, Japan"
"Daybreakers","Action, Fantasy, Horror, Sci-Fi, Thriller","Australia, USA"
"She's Out of My League","Comedy, Romance","USA"
"Monte Carlo","Adventure, Comedy, Family, Romance","Hungary, USA"
"Alpha and Omega","Animation, Adventure, Comedy, Family, Romance","USA, India, Canada"
"Shorts","Comedy, Family, Fantasy","USA, United Arab Emirates"
"Nerve","Action, Adventure, Crime, Drama, Mystery, Thriller","USA"
"Appaloosa","Crime, Drama, Romance, Western","USA"
"My Best Friend's Girl","Comedy, Romance","USA"
"Endless Love","Drama, Romance","USA"
"Silent Hill: Revelation 3D","Documentary","France"
"Capitalism: A Love Story","Documentary, Crime, News","USA"
"Disaster Movie","Comedy","USA"
"Armored","Action, Crime, Thriller","USA"
"What's Your Number?","Comedy, Romance","USA"
"Lockout","Action, Adventure, Sci-Fi, Thriller","France"
"Crank: High Voltage","Action, Crime, Thriller","USA"
"Ghost Town","Comedy, Drama, Fantasy, Romance","USA"
"12 Rounds","Action, Crime, Thriller","USA"
"Let Me In","Drama, Fantasy, Horror, Mystery, Thriller","UK, USA"
"Triple 9","Action, Crime, Drama, Thriller","USA"
"Burnt","Comedy, Drama","USA"
"Everybody's Fine","Adventure, Drama","USA"
"Inherent Vice","Comedy, Crime, Drama, Mystery, Romance","USA"
"Battle of the Year","Drama, Music","USA"
"An American Carol","Comedy, Fantasy","USA"
"Machete Kills","Action, Crime, Sci-Fi","Russia, USA"
"Strange Wilderness","Adventure, Comedy","USA"
"Little Boy","Drama, History, War","Mexico, USA"
"A Dangerous Method","Biography, Drama, Romance, Thriller","UK, Germany, Canada, Switzerland, USA"
"Chasing Mavericks","Biography, Drama, Sport","USA"
"Bandslam","Comedy, Drama, Family","USA"
"A Most Violent Year","Crime, Drama, Thriller","United Arab Emirates, USA"
"Flash of Genius","Biography, Drama","Canada, USA"
"The Cold Light of Day","Action, Thriller","USA, Spain"
"The Brothers Bloom","Adventure, Comedy, Drama","USA"
"Synecdoche, New York","Comedy, Drama","USA"
"The Children of Huang Shi","Drama, War","Australia, China, Germany, USA"
"By the Sea","Drama, Fantasy, Mystery","France, Malta, USA"
"All Good Things","Crime, Drama, Mystery, Romance, Thriller","USA"
"CJ7","Comedy, Family, Sci-Fi","Hong Kong, China"
"Dylan Dog: Dead of Night","Action, Comedy, Crime, Fantasy, Horror, Mystery, Sci-Fi, Thriller","USA"
"The Tempest","Comedy, Drama, Fantasy","USA"
"Regression","Crime, Horror, Mystery, Thriller","Spain, Canada, USA"
"Hands of Stone","Action, Biography, Drama, Sport","Panama, USA"
"The Baader Meinhof Complex","Action, Biography, Crime","Germany, France, Czech Republic"
"Bad Teacher","Comedy, Romance","USA"
"The Switch","Comedy, Drama, Romance","USA"
"The Devil's Double","Biography, Drama, Thriller","Belgium, Netherlands"
"The Crazies","Horror, Thriller","USA, United Arab Emirates"
"Firestorm","Thriller, Action","USA"
"The Book Thief","Drama, War","USA, Germany"
"Sex Drive","Adventure, Comedy, Romance","USA"
"Leap Year","Comedy, Romance","USA, Ireland"
"Take Me Home Tonight","Comedy, Drama, Romance","USA, Germany"
"Won't Back Down","Drama","USA"
"Indignation","Drama, Romance","USA, China"
"The Invention of Lying","Comedy, Fantasy, Romance","USA"
"Neighbors","Comedy","USA"
"Left Behind","Action, Drama, Fantasy, Mystery, Thriller","USA, Canada"
"Left Behind","Action, Drama, Fantasy, Mystery, Thriller","USA, Canada"
"My Big Fat Greek Wedding 2","Comedy, Romance","USA, Canada"
"Diary of a Wimpy Kid: Rodrick Rules","Comedy, Family","USA"
"Prom Night","Horror, Mystery","USA, Canada"
"Blue Jasmine","Drama","USA"
"Soul Surfer","Biography, Drama, Family, Sport","USA"
"Observe and Report","Comedy, Crime, Drama","USA"
"Love Happens","Drama, Romance","USA, Canada, UK"
"127 Hours","Adventure, Biography, Drama, Thriller","USA, UK, France"
"Love the Coopers","Comedy, Fantasy, Romance","USA"
"Steve Jobs","Biography, Drama","UK, USA"
"Youth in Revolt","Comedy, Drama, Romance","USA"
"And So It Goes","Comedy, Drama, Romance","USA"
"The Last Station","Biography, Drama, Romance","UK, Germany, Russia"
"Labor Day","Drama, Romance","USA"
"Mao's Last Dancer","Biography, Drama, Music","Australia"
"Midnight Special","Action, Drama, Mystery","USA, Greece"
"The Railway Man","Biography, Drama, Romance, War","Switzerland, UK, Australia"
"The White Ribbon","Drama, History, Mystery","Germany, Austria, France, Italy"
"Restoration","Biography, Drama, History","USA, UK"
"Metallica Through the Never","Music","USA"
"The Informers","Crime, Drama, Thriller","Germany, USA"
"Red Lights","Drama, Fantasy, Horror, Mystery, Thriller","Spain, USA"
"Wolves","Action, Fantasy, Horror, Thriller","France, Canada"
"Black Nativity","Drama, Family, Music, Musical","USA"
"Let's Be Cops","Comedy, Crime","USA"
"The Best Man Holiday","Comedy, Drama","USA"
"Beastly","Drama, Fantasy, Romance","USA"
"McFarland, USA","Biography, Drama, Sport","USA"
"Lottery Ticket","Comedy","USA"
"Pitch Perfect","Comedy, Music, Romance","USA"
"Brooklyn's Finest","Crime, Drama, Thriller","USA"
"My Life in Ruins","Comedy, Romance","USA, Spain"
"Escobar: Paradise Lost","Crime, Drama, History, Romance, Thriller","France, Spain, Belgium, Panama"
"The Apparition","Horror, Thriller","USA, Germany"
"The Artist","Comedy, Drama, Romance","France, USA, Belgium"
"Moonrise Kingdom","Adventure, Comedy, Drama","USA"
"The Young Messiah","Drama, Fantasy","USA"
"The Roommate","Drama, Thriller","USA"
"Vicky Cristina Barcelona","Drama, Romance","Spain, USA"
"Jennifer's Body","Comedy, Horror","USA"
"Remember Me","Drama, Romance","USA"
"The Immigrant","Drama, Romance","USA"
"Trance","Crime, Drama, Mystery, Thriller","UK, USA, France"
"Trance","Crime, Drama, Mystery, Thriller","UK, USA, France"
"Good","Drama, Romance","USA"
"Enter the Void","Drama, Fantasy","France, Germany, Italy, Canada"
"Vamps","Comedy, Horror, Romance","USA"
"The Homesman","Drama, Western","USA, France"
"The King's Speech","Biography, Drama, History","UK, USA, Australia"
"The Yellow Handkerchief","Drama, Romance","USA"
"The Imitation Game","Biography, Drama, Thriller, War","USA"
"Diary of a Wimpy Kid","Comedy, Family","USA, UK"
"Mama","Horror, Thriller","Canada, Spain"
"The Woman in Black","Drama, Fantasy, Horror, Thriller","UK, Canada, Sweden"
"Snitch","Action, Drama, Thriller","USA, United Arab Emirates"
"Snitch","Action, Drama, Thriller","USA, United Arab Emirates"
"Krampus","Action, Comedy, Fantasy, Horror","USA"
"End of Watch","Action, Crime, Drama, Thriller","USA"
"The Theory of Everything","Biography, Drama, Romance","UK, Japan, USA"
"Halloween II","Horror","USA"
"Halloween II","Horror","USA"
"Drive","Crime, Drama","USA"
"When the Game Stands Tall","Drama, Family, Sport","USA"
"All About Steve","Comedy, Romance","USA"
"Ramona and Beezus","Adventure, Comedy, Family, Fantasy","USA"
"Keanu","Action, Comedy, Crime, Drama","USA"
"Country Strong","Drama, Music","USA"
"The Place Beyond the Pines","Crime, Drama, Thriller","USA"
"The November Man","Action, Crime, Thriller","USA, UK"
"The Hurt Locker","Drama, Thriller, War","USA"
"Killing Them Softly","Crime, Thriller","USA"
"A Most Wanted Man","Crime, Drama, Thriller","UK, USA, Germany"
"One Day","Drama, Romance","USA, UK"
"Whip It","Drama, Sport","USA"
"The Man with the Iron Fists","Action","USA, Hong Kong"
"In Bruges","Comedy, Crime, Drama","UK, USA"
