date,US firms with high China sales,US firms with high international sales,US sectors with high Chinese inputs
8/6/2018,94.55795087,102.2404993,97.20641965
8/7/2018,95.03868985,102.0101237,97.6291347
8/8/2018,95.19815171,102.0225738,97.79659783
8/9/2018,94.80788891,102.1337515,97.26153684
8/10/2018,93.22866409,102.275078,96.96303651
8/13/2018,93.16330142,102.2368047,96.44329728
8/14/2018,92.16373644,101.9112924,96.69574779
8/15/2018,91.80167134,102.0803987,94.96518521
8/16/2018,91.01446622,102.2809012,94.40526346
8/17/2018,90.85581483,102.9314063,94.34401004
8/20/2018,90.1830204,102.6210261,94.78706328
8/21/2018,91.7022347,102.1850436,95.4749926
8/22/2018,91.3339606,102.4021332,96.2997797
8/23/2018,91.23239224,102.6626268,96.11452096
8/24/2018,91.64749123,102.5809167,96.43733625
8/27/2018,92.21603789,102.3511408,97.72143422
8/28/2018,92.86025898,102.4492904,97.4823809
8/29/2018,92.3343512,102.8590097,98.16384331
8/30/2018,91.93507963,103.3198266,97.66836195
8/31/2018,92.23687891,103.6194621,97.78260762
9/3/2018,92.23687891,103.6194621,97.78260762
9/4/2018,92.1759265,103.5236229,97.90194168
9/5/2018,92.09053819,103.3680793,96.94330262
9/6/2018,90.92205532,103.1595455,96.37858486
9/7/2018,91.20783569,103.1212201,96.90251821
9/10/2018,91.79572873,103.0006117,96.68706121
