Stan cywilny prawny;2002;2011
Kawalerowie, panny;28,5;28,8
Żonaci, zamężne;57,7;55,8
Wdowcy, wdowy;9,3;9,6
Rozwiedzeni, rozwiedzione;3,7;5,0
Nieustalony;0,8;0,8
