plec,ogolem,"kawelerowie, panny","żonaci, zamężne","wdowcy, wdowy","rozwiedzeni, rozwiedzione"
Mężczyźni,9451103,3046706,5520567,298081,493199
Kobiety,10715766,2637781,5555698,1632750,793291
