plec,ogólem,"kawelerowie, panny","żonaci, zamężne","wdowcy, wdowy","rozwiedzeni, rozwiedzione"
Mężczyźni,6201105,2242726,3574515,183693,162978
Kobiety,6311640,1492838,3585643,1012263,180014
