Tabela,Data,Kurs średni,Zmiana
223/A/NBP/2018,2018-11-16,3.7876,-0.52
222/A/NBP/2018,2018-11-15,3.8074,-0.1
221/A/NBP/2018,2018-11-14,3.8114,-0.4
220/A/NBP/2018,2018-11-13,3.8268,0.28
219/A/NBP/2018,2018-11-12,3.8163,0.86
218/A/NBP/2018,2018-11-09,3.7838,0.64
217/A/NBP/2018,2018-11-08,3.7599,0.54
216/A/NBP/2018,2018-11-07,3.7398,-1.07
215/A/NBP/2018,2018-11-06,3.7802,-0.28
214/A/NBP/2018,2018-11-05,3.7907,0.27
213/A/NBP/2018,2018-11-02,3.7804,-1.04
212/A/NBP/2018,2018-10-31,3.8203,0.37
211/A/NBP/2018,2018-10-30,3.8062,0.35
210/A/NBP/2018,2018-10-29,3.793,0.08
209/A/NBP/2018,2018-10-26,3.7899,0.27
208/A/NBP/2018,2018-10-25,3.7796,0.26
207/A/NBP/2018,2018-10-24,3.7698,0.57
206/A/NBP/2018,2018-10-23,3.7485,0.57
205/A/NBP/2018,2018-10-22,3.7273,-0.87
204/A/NBP/2018,2018-10-19,3.7601,0.8
203/A/NBP/2018,2018-10-18,3.7302,0.48
202/A/NBP/2018,2018-10-17,3.7123,0
