"COUNTRY","Country","YEAR","Year","ISC11","ISCED 2011","EXP","Teacher career point (experience level)","QUAL","Teacher qualification level","INDICATOR","Indicator","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","EXPMAX","Salary at top of scale","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,59568.04285,,
"AUS","Australia","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXPMAX","Salary at top of scale","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,59568.04285,,
"AUS","Australia","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXPMAX","Salary at top of scale","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,59568.04285,,
"AUS","Australia","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXPMAX","Salary at top of scale","QUAL_TYP","Typical qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,95524.44,,
"AUS","Australia","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXPMAX","Salary at top of scale","QUAL_MIN","Minimum qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,95524.44,,
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","EXPMAX","Salary at top of scale","QUAL_TYP","Typical qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,95524.44,,
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","EXPMAX","Salary at top of scale","QUAL_MIN","Minimum qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,95524.44,,
"AUS","Australia","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","EXPMAX","Salary at top of scale","QUAL_TYP","Typical qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,95524.44,,
"AUS","Australia","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","EXPMAX","Salary at top of scale","QUAL_MIN","Minimum qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,95524.44,,
"AUS","Australia","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXPMAX","Salary at top of scale","QUAL_TYP","Typical qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,95524.44,,
"AUS","Australia","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXPMAX","Salary at top of scale","QUAL_MIN","Minimum qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,95524.44,,
"AUT","Austria","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP0","Starting salary","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP0","Starting salary","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","EXP0","Starting salary","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,40548.15491,,
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","EXP0","Starting salary","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,40548.15491,,
"AUT","Austria","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","EXP0","Starting salary","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,40411.13631,,
"AUT","Austria","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","EXP0","Starting salary","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,40411.13631,,
"AUT","Austria","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXP0","Starting salary","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,40459.68989,,
"AUT","Austria","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXP0","Starting salary","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,40459.68989,,
"AUT","Austria","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP0","Starting salary","QUAL_TYP","Typical qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP0","Starting salary","QUAL_MIN","Minimum qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","EXP0","Starting salary","QUAL_TYP","Typical qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,34594.75,,
"AUT","Austria","2017","2017","L1","Primary education (ISCED2011 level 1)","EXP0","Starting salary","QUAL_MIN","Minimum qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,34594.75,,
