Place,Times
London,31
Surrey,8
Sussex,5
Kent,4
Hampshire,3
Switzerland,3
Camford,2
Norfolk,2
Middlesex,2
Berkshire,2
Essex,2
Devon,2
Yorkshire,1
Birmingham,1
Cambridge,1
Herefordshire,1
Bedfordshire,1
Cornwall,1
France,1
